site,timestamp_utc,water_temperature,water_temp_grade_code,water_temp_grade_desc,water_temperature_note,sp_conductance,sp_conductance_grade_code,sp_conductance_grade_desc,sp_conductance_note,ph,ph_grade_code,ph_grade_desc,ph_note,do_concentration,do_concentration_grade_code,do_concentration_grade_desc,do_concentration_note,do_saturation,do_saturation_grade_code,do_saturation_grade_desc,do_saturation_note,turbidity,turbidity_grade_code,turbidity_grade_desc,turbidity_note,water_temperature (deg C)_flag,sp_conductance (mS/cm)_flag,pH (pH units)_flag,do_concentration (mg/L)_flag,do_saturation (percent)_flag,turbidity (FNU)_flag
KLGO,2011-04-25 23:00:51.000,4.38,31,Good,,0.082,31,Good,,7.99,31,Good,,13.48,31,Good,,103.9,31,Good,,1.6,31,Good,,,,,,,
KLGO,2011-04-26 00:00:51.000,4.85,31,Good,,0.082,31,Good,,7.95,31,Good,,13.45,31,Good,,104.9,31,Good,,1.4,31,Good,,,,,,,
KLGO,2011-04-26 01:00:51.000,4.95,31,Good,,0.082,31,Good,,7.94,31,Good,,13.39,31,Good,,104.7,31,Good,,1.5,31,Good,,,,,,,
KLGO,2011-04-26 02:00:51.000,5.51,31,Good,,0.082,31,Good,,7.94,31,Good,,13.3,31,Good,,105.6,31,Good,,1.4,31,Good,,,,,,,
KLGO,2011-04-26 03:00:51.000,5.73,31,Good,,0.082,31,Good,,7.94,31,Good,,13.2,31,Good,,105.4,31,Good,,1.3,31,Good,,,,,,,
KLGO,2011-04-26 04:00:51.000,5.73,31,Good,,0.082,31,Good,,7.94,31,Good,,13.09,31,Good,,104.5,31,Good,,1.2,31,Good,,,,,,,
KLGO,2011-04-26 05:00:51.000,5.53,31,Good,,0.082,31,Good,,7.93,31,Good,,13.02,31,Good,,103.4,31,Good,,1.4,31,Good,,,,,,,
KLGO,2011-04-26 06:00:51.000,5.16,31,Good,,0.082,31,Good,,7.92,31,Good,,13,31,Good,,102.2,31,Good,,1.6,31,Good,,,,,,,
KLGO,2011-04-26 07:00:51.000,4.99,31,Good,,0.082,31,Good,,7.91,31,Good,,12.98,31,Good,,101.6,31,Good,,1.6,31,Good,,,,,,,
KLGO,2011-04-26 08:00:51.000,4.89,31,Good,,0.082,31,Good,,7.91,31,Good,,12.96,31,Good,,101.2,31,Good,,1.5,31,Good,,,,,,,
KLGO,2011-04-26 09:00:51.000,4.77,31,Good,,0.082,31,Good,,7.9,31,Good,,12.98,31,Good,,101.1,31,Good,,1.7,31,Good,,,,,,,
KLGO,2011-04-26 10:00:51.000,4.63,31,Good,,0.082,31,Good,,7.89,31,Good,,13.03,31,Good,,101,31,Good,,1.7,31,Good,,,,,,,
KLGO,2011-04-26 11:00:51.000,4.46,31,Good,,0.082,31,Good,,7.89,31,Good,,13.09,31,Good,,101.1,31,Good,,1.7,31,Good,,,,,,,
KLGO,2011-04-26 12:00:51.000,4.25,31,Good,,0.082,31,Good,,7.89,31,Good,,13.16,31,Good,,101.1,31,Good,,2,31,Good,,,,,,,
KLGO,2011-04-26 13:00:51.000,4.04,31,Good,,0.082,31,Good,,7.88,31,Good,,13.25,31,Good,,101.2,31,Good,,1.7,31,Good,,,,,,,
KLGO,2011-04-26 14:00:51.000,3.82,31,Good,,0.082,31,Good,,7.88,31,Good,,13.34,31,Good,,101.3,31,Good,,1.9,31,Good,,,,,,,
KLGO,2011-04-26 15:00:51.000,3.6,31,Good,,0.081,31,Good,,7.87,31,Good,,13.44,31,Good,,101.5,31,Good,,1.8,31,Good,,,,,,,
