timestamp_utc,water_temperature,sp_conductance,ph,do_concentration,do_saturation,turbidity
2011-04-29 19:00:51+00:00,3.07,0.081,7.62,14.21,105.8,3.5
2011-04-29 20:00:51+00:00,3.35,0.081,7.62,14.19,106.4,3.2
2011-04-29 21:00:51+00:00,3.69,0.081,7.63,14.13,106.9,3.0
2011-04-29 22:00:51+00:00,4.31,0.082,7.63,14.02,107.9,3.1
2011-04-29 23:00:51+00:00,5.24,0.081,7.64,13.83,109.0,3.3
2011-04-30 00:00:51+00:00,5.57,0.081,7.65,13.66,108.6,3.0
2011-04-30 01:00:00+00:00,12.97,1.452,6.47,10.79,102.8,0.6
2011-04-30 02:00:16+00:00,8.41,0.0,9.06,11.9,101.5,1.6
2011-04-30 03:00:51+00:00,5.06,0.082,7.68,12.53,98.3,2.8
2011-04-30 04:00:51+00:00,5.01,0.082,7.66,12.48,97.8,2.8
2011-04-30 05:00:51+00:00,4.97,0.082,7.66,12.43,97.2,2.7
2011-04-30 06:00:51+00:00,4.93,0.082,7.66,12.39,96.8,2.5
