segment_id,start_time,end_time,duration,observations,duration_days
6,2015-04-07 01:00:51+00:00,2015-11-19 21:00:52+00:00,226 days 20:00:01,5432,226.8333449074074
5,2014-04-07 22:00:51+00:00,2014-11-15 00:00:52+00:00,221 days 02:00:01,5293,221.0833449074074
3,2012-04-17 00:00:51+00:00,2012-11-19 18:00:53+00:00,216 days 18:00:02,5191,216.75002314814816
7,2016-04-08 17:00:50+00:00,2016-11-09 21:00:53+00:00,215 days 04:00:03,5155,215.1667013888889
16,2022-04-17 04:00:00+00:00,2022-11-06 06:00:00+00:00,203 days 02:00:00,4862,203.08333333333334
11,2018-05-04 04:00:51+00:00,2018-11-07 23:00:56+00:00,187 days 19:00:05,4502,187.79172453703703
19,2024-04-24 21:00:00+00:00,2024-10-24 21:00:00+00:00,183 days 00:00:00,4378,183.0
4,2013-04-17 00:00:50+00:00,2013-10-02 12:00:51+00:00,168 days 12:00:01,4039,168.50001157407408
13,2020-06-01 03:00:52+00:00,2020-11-04 21:00:54+00:00,156 days 18:00:02,3759,156.75002314814816
8,2017-04-12 20:52:52+00:00,2017-09-15 07:52:54+00:00,155 days 11:00:02,3724,155.45835648148147
12,2019-06-27 00:00:51+00:00,2019-11-22 21:00:55+00:00,148 days 21:00:04,3569,148.8750462962963
18,2023-07-21 05:00:00+00:00,2023-10-27 18:00:00+00:00,98 days 13:00:00,2358,98.54166666666667
17,2023-04-19 21:00:00+00:00,2023-07-20 21:00:00+00:00,92 days 00:00:00,2206,92.0
1,2011-04-25 23:00:51+00:00,2011-07-25 20:00:52+00:00,90 days 21:00:01,2178,90.87501157407408
15,2021-09-07 07:00:00+00:00,2021-11-09 19:00:00+00:00,63 days 12:00:00,1522,63.5
2,2011-09-15 05:00:51+00:00,2011-11-14 22:00:53+00:00,60 days 17:00:02,1456,60.70835648148148
14,2021-07-15 00:00:00+00:00,2021-08-22 01:00:00+00:00,38 days 01:00:00,910,38.041666666666664
9,2017-10-06 02:52:52+00:00,2017-11-09 16:52:55+00:00,34 days 14:00:03,829,34.58336805555555
10,2018-04-23 23:00:33+00:00,2018-05-01 19:00:34+00:00,7 days 20:00:01,189,7.833344907407407
