timestamp,water_temperature,sp_conductance,ph,do_concentration,do_saturation,turbidity
2022-09-24 14:00:00+00:00,5.48,0.034,7.33,12.93,102.5,39.3
2022-09-24 15:00:00+00:00,5.49,0.034,7.31,12.93,102.6,35.4
2022-09-24 16:00:00+00:00,5.52,0.034,7.3,12.94,102.7,35.8
2022-09-24 17:00:00+00:00,5.54,0.033,7.3,12.95,102.8,33.3
2022-09-24 18:00:00+00:00,5.57,0.034,7.32,12.96,103.0,35.9
2022-09-24 19:00:00+00:00,5.62,0.034,7.34,12.95,103.1,38.6
2022-09-24 20:00:00+00:00,5.7,0.034,7.34,12.96,103.3,36.3
2022-09-24 21:00:00+00:00,5.91,0.034,7.35,12.92,103.6,39.9
2022-09-24 22:00:00+00:00,6.12,0.035,7.37,12.85,103.5,38.6
2022-09-24 23:00:00+00:00,6.22,0.036,7.37,12.78,103.3,37.4
2022-09-25 00:00:00+00:00,6.24,0.036,7.37,12.75,103.1,37.5
2022-09-25 01:00:00+00:00,6.22,0.036,7.38,12.75,103.0,47.8
2022-09-25 02:00:00+00:00,6.21,0.037,7.38,12.74,102.9,33.7
2022-09-25 03:00:00+00:00,6.13,0.037,7.37,12.75,102.7,31.9
2022-09-25 04:00:00+00:00,6.02,0.037,7.38,12.77,102.6,27.2
2022-09-25 05:00:00+00:00,5.91,0.037,7.38,12.8,102.6,29.2
2022-09-25 06:00:00+00:00,5.79,0.038,7.36,12.82,102.5,33.0
2022-09-25 07:00:00+00:00,5.7,0.038,7.37,12.86,102.5,31.1
2022-09-25 08:00:00+00:00,5.6,0.038,7.35,12.89,102.5,
2022-09-25 09:00:00+00:00,5.56,0.038,7.36,12.89,102.4,
2022-09-25 10:00:00+00:00,5.54,0.038,7.36,12.9,102.4,
2022-09-25 11:00:00+00:00,5.51,0.039,7.36,12.9,102.4,30.5
2022-09-25 12:00:00+00:00,5.46,0.039,7.34,12.92,102.4,31.2
2022-09-25 13:00:00+00:00,5.43,0.038,7.33,12.94,102.4,28.8
2022-09-25 14:00:00+00:00,5.41,0.038,7.33,12.95,102.5,27.8
2022-09-25 15:00:00+00:00,5.39,0.038,7.34,12.96,102.5,26.7
2022-09-25 16:00:00+00:00,5.37,0.038,7.34,12.97,102.5,32.1
2022-09-25 17:00:00+00:00,5.35,0.038,7.35,12.98,102.5,27.4
2022-09-25 18:00:00+00:00,5.35,0.038,7.34,12.99,102.6,26.9
2022-09-25 19:00:00+00:00,5.39,0.037,7.33,13.0,102.8,25.5
2022-09-25 20:00:00+00:00,5.5,0.036,7.36,13.0,103.2,28.3
2022-09-25 21:00:00+00:00,5.72,0.034,7.34,12.96,103.4,34.9
2022-09-25 22:00:00+00:00,5.93,0.033,7.34,12.93,103.7,37.6
2022-09-25 23:00:00+00:00,6.16,0.032,7.33,12.85,103.7,38.4
2022-09-26 00:00:00+00:00,6.33,0.032,7.32,12.78,103.5,42.7
2022-09-26 01:00:00+00:00,6.4,0.033,7.35,12.72,103.3,41.8
2022-09-26 02:00:00+00:00,6.43,0.034,7.33,12.68,103.0,37.6
2022-09-26 03:00:00+00:00,6.36,0.034,7.34,12.67,102.8,36.3
2022-09-26 04:00:00+00:00,6.22,0.035,7.34,12.69,102.5,33.2
2022-09-26 05:00:00+00:00,6.09,0.036,7.31,12.71,102.4,23.5
2022-09-26 06:00:00+00:00,5.99,0.036,7.32,12.75,102.4,33.5
2022-09-26 07:00:00+00:00,5.91,0.037,7.34,12.76,102.2,27.0
2022-09-26 08:00:00+00:00,5.83,0.037,7.35,12.79,102.3,23.1
2022-09-26 09:00:00+00:00,5.77,0.037,7.37,12.81,102.3,24.6
2022-09-26 10:00:00+00:00,5.71,0.037,7.36,12.82,102.2,19.1
2022-09-26 11:00:00+00:00,5.64,0.036,7.36,12.86,102.4,24.7
2022-09-26 12:00:00+00:00,5.59,0.035,7.35,12.9,102.5,39.0
2022-09-26 13:00:00+00:00,5.57,0.034,7.33,12.89,102.4,36.3
2022-09-26 14:00:00+00:00,5.53,0.034,7.32,12.9,102.4,61.0
