horizon,event_id,segment_id,event_start,event_end,event_duration_hours,maximum_turbidity,threshold,first_warning_time,warning_lead_time_hours,detected
1h,1,3,2013-09-08 09:00:00+00:00,2013-09-09 08:00:00+00:00,24.0,1281.8,0.25,,,0
1h,2,4,2014-08-12 14:00:00+00:00,2014-08-13 05:00:00+00:00,16.0,1216.5,0.25,,,0
1h,3,4,2014-09-22 14:00:00+00:00,2014-09-22 17:00:00+00:00,4.0,430.6,0.25,,,0
1h,4,4,2014-10-04 16:00:00+00:00,2014-10-05 01:00:00+00:00,10.0,529.4,0.25,,,0
1h,5,4,2014-10-05 04:00:00+00:00,2014-10-05 08:00:00+00:00,5.0,334.2,0.25,,,0
1h,6,4,2014-10-10 21:00:00+00:00,2014-10-11 06:00:00+00:00,10.0,875.2,0.25,,,0
1h,7,5,2015-08-18 21:00:00+00:00,2015-08-19 08:00:00+00:00,12.0,621.8,0.25,,,0
1h,8,5,2015-09-11 07:00:00+00:00,2015-09-12 11:00:00+00:00,29.0,1205.9,0.25,,,0
1h,9,5,2015-09-30 02:00:00+00:00,2015-10-01 12:00:00+00:00,35.0,1195.1,0.25,,,0
1h,10,5,2015-10-17 20:00:00+00:00,2015-10-17 23:00:00+00:00,4.0,404.7,0.25,,,0
1h,11,5,2015-10-18 02:00:00+00:00,2015-10-18 05:00:00+00:00,4.0,480.3,0.25,,,0
1h,12,6,2016-07-24 02:00:00+00:00,2016-07-24 06:00:00+00:00,5.0,507.8,0.25,,,0
1h,13,6,2016-09-13 13:00:00+00:00,2016-09-14 02:00:00+00:00,14.0,1035.0,0.25,,,0
1h,14,6,2016-09-14 05:00:00+00:00,2016-09-14 09:00:00+00:00,5.0,388.9,0.25,,,0
1h,15,7,2017-05-22 14:00:00+00:00,2017-05-23 04:00:00+00:00,15.0,710.9,0.25,,,0
1h,16,7,2017-07-30 16:00:00+00:00,2017-07-31 04:00:00+00:00,13.0,1045.9,0.25,,,0
1h,17,7,2017-08-31 01:00:00+00:00,2017-08-31 08:00:00+00:00,8.0,637.2,0.25,,,0
1h,18,7,2017-09-07 09:00:00+00:00,2017-09-07 23:00:00+00:00,15.0,842.4,0.25,,,0
1h,19,10,2018-08-09 13:00:00+00:00,2018-08-10 02:00:00+00:00,14.0,803.4,0.25,,,0
1h,20,10,2018-08-10 08:00:00+00:00,2018-08-10 11:00:00+00:00,4.0,476.0,0.25,,,0
1h,21,10,2018-10-14 21:00:00+00:00,2018-10-15 01:00:00+00:00,5.0,584.7,0.25,,,0
1h,22,10,2018-10-15 08:00:00+00:00,2018-10-15 18:00:00+00:00,11.0,585.9,0.25,,,0
1h,23,10,2018-10-16 06:00:00+00:00,2018-10-16 15:00:00+00:00,10.0,510.4,0.25,,,0
1h,24,11,2019-09-19 12:00:00+00:00,2019-09-19 19:00:00+00:00,8.0,720.5,0.25,,,0
1h,25,11,2019-09-21 06:00:00+00:00,2019-09-22 06:00:00+00:00,25.0,1302.6,0.25,,,0
1h,26,13,2021-08-13 14:00:00+00:00,2021-08-14 10:00:00+00:00,21.0,835.9,0.25,,,0
1h,27,15,2022-08-17 21:00:00+00:00,2022-08-18 06:00:00+00:00,10.0,715.3,0.25,,,0
1h,28,15,2022-09-26 20:00:00+00:00,2022-09-27 21:00:00+00:00,26.0,1259.7,0.25,,,0
1h,29,15,2022-10-01 14:00:00+00:00,2022-10-02 03:00:00+00:00,14.0,695.4,0.25,,,0
1h,30,15,2022-10-10 00:00:00+00:00,2022-10-10 02:00:00+00:00,3.0,374.4,0.25,,,0
1h,31,15,2022-10-13 14:00:00+00:00,2022-10-14 07:00:00+00:00,18.0,453.5,0.25,,,0
1h,32,16,2023-07-03 07:00:00+00:00,2023-07-03 17:00:00+00:00,11.0,407.9,0.25,2023-07-02 12:00:00+00:00,19.0,1
1h,33,16,2023-07-04 07:00:00+00:00,2023-07-05 09:00:00+00:00,27.0,537.8,0.25,2023-07-02 12:00:00+00:00,43.0,1
1h,34,16,2023-07-05 12:00:00+00:00,2023-07-05 18:00:00+00:00,7.0,500.0,0.25,2023-07-02 12:00:00+00:00,72.0,1
1h,35,16,2023-07-06 19:00:00+00:00,2023-07-07 06:00:00+00:00,12.0,449.7,0.25,2023-07-02 12:00:00+00:00,103.0,1
1h,36,16,2023-07-11 19:00:00+00:00,2023-07-12 08:00:00+00:00,14.0,384.7,0.25,2023-07-04 19:00:00+00:00,168.0,1
1h,37,16,2023-07-12 11:00:00+00:00,2023-07-13 05:00:00+00:00,19.0,441.0,0.25,2023-07-05 12:00:00+00:00,167.0,1
1h,38,16,2023-07-13 08:00:00+00:00,2023-07-14 06:00:00+00:00,23.0,504.2,0.25,2023-07-06 21:00:00+00:00,155.0,1
1h,39,16,2023-07-14 19:00:00+00:00,2023-07-15 06:00:00+00:00,12.0,567.4,0.25,2023-07-11 19:00:00+00:00,72.0,1
1h,40,16,2023-07-16 03:00:00+00:00,2023-07-16 12:00:00+00:00,10.0,438.6,0.25,2023-07-11 19:00:00+00:00,104.0,1
1h,41,16,2023-07-16 15:00:00+00:00,2023-07-17 09:00:00+00:00,19.0,402.6,0.25,2023-07-11 19:00:00+00:00,116.0,1
1h,42,16,2023-07-18 03:00:00+00:00,2023-07-18 19:00:00+00:00,17.0,395.5,0.25,2023-07-11 19:00:00+00:00,152.0,1
1h,43,17,2023-08-13 06:00:00+00:00,2023-08-13 09:00:00+00:00,4.0,417.6,0.25,,,0
6h,1,3,2013-09-08 09:00:00+00:00,2013-09-09 08:00:00+00:00,24.0,1281.8,0.2,,,0
6h,2,4,2014-08-12 14:00:00+00:00,2014-08-13 05:00:00+00:00,16.0,1216.5,0.2,,,0
6h,3,4,2014-09-22 14:00:00+00:00,2014-09-22 17:00:00+00:00,4.0,430.6,0.2,,,0
6h,4,4,2014-10-04 16:00:00+00:00,2014-10-05 01:00:00+00:00,10.0,529.4,0.2,,,0
6h,5,4,2014-10-05 04:00:00+00:00,2014-10-05 08:00:00+00:00,5.0,334.2,0.2,,,0
6h,6,4,2014-10-10 21:00:00+00:00,2014-10-11 06:00:00+00:00,10.0,875.2,0.2,,,0
6h,7,5,2015-08-18 21:00:00+00:00,2015-08-19 08:00:00+00:00,12.0,621.8,0.2,,,0
6h,8,5,2015-09-11 07:00:00+00:00,2015-09-12 11:00:00+00:00,29.0,1205.9,0.2,,,0
6h,9,5,2015-09-30 02:00:00+00:00,2015-10-01 12:00:00+00:00,35.0,1195.1,0.2,,,0
6h,10,5,2015-10-17 20:00:00+00:00,2015-10-17 23:00:00+00:00,4.0,404.7,0.2,,,0
6h,11,5,2015-10-18 02:00:00+00:00,2015-10-18 05:00:00+00:00,4.0,480.3,0.2,,,0
6h,12,6,2016-07-24 02:00:00+00:00,2016-07-24 06:00:00+00:00,5.0,507.8,0.2,,,0
6h,13,6,2016-09-13 13:00:00+00:00,2016-09-14 02:00:00+00:00,14.0,1035.0,0.2,,,0
6h,14,6,2016-09-14 05:00:00+00:00,2016-09-14 09:00:00+00:00,5.0,388.9,0.2,,,0
6h,15,7,2017-05-22 14:00:00+00:00,2017-05-23 04:00:00+00:00,15.0,710.9,0.2,,,0
6h,16,7,2017-07-30 16:00:00+00:00,2017-07-31 04:00:00+00:00,13.0,1045.9,0.2,,,0
6h,17,7,2017-08-31 01:00:00+00:00,2017-08-31 08:00:00+00:00,8.0,637.2,0.2,,,0
6h,18,7,2017-09-07 09:00:00+00:00,2017-09-07 23:00:00+00:00,15.0,842.4,0.2,,,0
6h,19,10,2018-08-09 13:00:00+00:00,2018-08-10 02:00:00+00:00,14.0,803.4,0.2,,,0
6h,20,10,2018-08-10 08:00:00+00:00,2018-08-10 11:00:00+00:00,4.0,476.0,0.2,,,0
6h,21,10,2018-10-14 21:00:00+00:00,2018-10-15 01:00:00+00:00,5.0,584.7,0.2,,,0
6h,22,10,2018-10-15 08:00:00+00:00,2018-10-15 18:00:00+00:00,11.0,585.9,0.2,,,0
