event_id,segment_id,start_time,end_time,duration_hours,high_turbidity_observations,maximum_turbidity,mean_turbidity
1,3,2013-09-08 09:00:00+00:00,2013-09-09 08:00:00+00:00,24.0,24,1281.8,807.0541666666668
2,4,2014-08-12 14:00:00+00:00,2014-08-13 05:00:00+00:00,16.0,16,1216.5,876.33125
3,4,2014-09-22 14:00:00+00:00,2014-09-22 17:00:00+00:00,4.0,3,430.6,382.0
4,4,2014-10-04 16:00:00+00:00,2014-10-05 01:00:00+00:00,10.0,9,529.4,409.75555555555553
5,4,2014-10-05 04:00:00+00:00,2014-10-05 08:00:00+00:00,5.0,3,334.2,328.8666666666666
6,4,2014-10-10 21:00:00+00:00,2014-10-11 06:00:00+00:00,10.0,10,875.2,521.01
7,5,2015-08-18 21:00:00+00:00,2015-08-19 08:00:00+00:00,12.0,10,621.8,426.7
8,5,2015-09-11 07:00:00+00:00,2015-09-12 11:00:00+00:00,29.0,26,1205.9,817.4307692307691
9,5,2015-09-30 02:00:00+00:00,2015-10-01 12:00:00+00:00,35.0,34,1195.1,757.6617647058823
10,5,2015-10-17 20:00:00+00:00,2015-10-17 23:00:00+00:00,4.0,4,404.7,367.6
11,5,2015-10-18 02:00:00+00:00,2015-10-18 05:00:00+00:00,4.0,3,480.3,393.56666666666666
12,6,2016-07-24 02:00:00+00:00,2016-07-24 06:00:00+00:00,5.0,5,507.8,461.1
13,6,2016-09-13 13:00:00+00:00,2016-09-14 02:00:00+00:00,14.0,12,1035.0,538.9333333333334
14,6,2016-09-14 05:00:00+00:00,2016-09-14 09:00:00+00:00,5.0,4,388.9,364.92499999999995
15,7,2017-05-22 14:00:00+00:00,2017-05-23 04:00:00+00:00,15.0,15,710.9,462.93999999999994
16,7,2017-07-30 16:00:00+00:00,2017-07-31 04:00:00+00:00,13.0,13,1045.9,607.8923076923077
17,7,2017-08-31 01:00:00+00:00,2017-08-31 08:00:00+00:00,8.0,7,637.2,425.7714285714286
18,7,2017-09-07 09:00:00+00:00,2017-09-07 23:00:00+00:00,15.0,14,842.4,517.95
19,10,2018-08-09 13:00:00+00:00,2018-08-10 02:00:00+00:00,14.0,13,803.4,487.5846153846154
20,10,2018-08-10 08:00:00+00:00,2018-08-10 11:00:00+00:00,4.0,4,476.0,373.69999999999993
21,10,2018-10-14 21:00:00+00:00,2018-10-15 01:00:00+00:00,5.0,5,584.7,480.66
22,10,2018-10-15 08:00:00+00:00,2018-10-15 18:00:00+00:00,11.0,11,585.9,427.8
23,10,2018-10-16 06:00:00+00:00,2018-10-16 15:00:00+00:00,10.0,8,510.4,368.375
24,11,2019-09-19 12:00:00+00:00,2019-09-19 19:00:00+00:00,8.0,7,720.5,509.3571428571428
25,11,2019-09-21 06:00:00+00:00,2019-09-22 06:00:00+00:00,25.0,23,1302.6,688.9
26,13,2021-08-13 14:00:00+00:00,2021-08-14 10:00:00+00:00,21.0,18,835.9,539.4
27,15,2022-08-17 21:00:00+00:00,2022-08-18 06:00:00+00:00,10.0,9,715.3,489.78888888888895
28,15,2022-09-26 20:00:00+00:00,2022-09-27 21:00:00+00:00,26.0,26,1259.7,719.9884615384615
29,15,2022-10-01 14:00:00+00:00,2022-10-02 03:00:00+00:00,14.0,13,695.4,508.8538461538461
30,15,2022-10-10 00:00:00+00:00,2022-10-10 02:00:00+00:00,3.0,3,374.4,353.73333333333335
31,15,2022-10-13 14:00:00+00:00,2022-10-14 07:00:00+00:00,18.0,18,453.5,390.57222222222225
32,16,2023-07-03 07:00:00+00:00,2023-07-03 17:00:00+00:00,11.0,10,407.9,379.37
33,16,2023-07-04 07:00:00+00:00,2023-07-05 09:00:00+00:00,27.0,25,537.8,434.04
34,16,2023-07-05 12:00:00+00:00,2023-07-05 18:00:00+00:00,7.0,7,500.0,470.82857142857137
35,16,2023-07-06 19:00:00+00:00,2023-07-07 06:00:00+00:00,12.0,10,449.7,383.87
36,16,2023-07-11 19:00:00+00:00,2023-07-12 08:00:00+00:00,14.0,11,384.7,349.6818181818182
37,16,2023-07-12 11:00:00+00:00,2023-07-13 05:00:00+00:00,19.0,16,441.0,367.84375
38,16,2023-07-13 08:00:00+00:00,2023-07-14 06:00:00+00:00,23.0,23,504.2,423.08260869565214
39,16,2023-07-14 19:00:00+00:00,2023-07-15 06:00:00+00:00,12.0,12,567.4,484.8083333333334
40,16,2023-07-16 03:00:00+00:00,2023-07-16 12:00:00+00:00,10.0,8,438.6,383.38750000000005
41,16,2023-07-16 15:00:00+00:00,2023-07-17 09:00:00+00:00,19.0,17,402.6,356.2705882352941
42,16,2023-07-18 03:00:00+00:00,2023-07-18 19:00:00+00:00,17.0,17,395.5,355.0
43,17,2023-08-13 06:00:00+00:00,2023-08-13 09:00:00+00:00,4.0,4,417.6,360.875
