horizon,event_id,event_start,event_end,segment_id,threshold,warning_window_hours,detected,first_warning_time,first_warning_lead_hours,last_warning_time,number_of_intervention_episodes,total_warning_hours,warning_to_event_end_hours
12h,32,2023-07-03 07:00:00+00:00,2023-07-03 17:00:00+00:00,16,0.15,48,1,2023-07-01 16:00:00+00:00,39.0,2023-07-02 17:00:00+00:00,6,7,49.0
12h,33,2023-07-04 07:00:00+00:00,2023-07-05 09:00:00+00:00,16,0.15,48,1,2023-07-02 08:00:00+00:00,47.0,2023-07-03 21:00:00+00:00,7,15,73.0
12h,34,2023-07-05 12:00:00+00:00,2023-07-05 18:00:00+00:00,16,0.15,48,1,2023-07-03 15:00:00+00:00,45.0,2023-07-04 07:00:00+00:00,3,31,51.0
12h,35,2023-07-06 19:00:00+00:00,2023-07-07 06:00:00+00:00,16,0.15,48,1,2023-07-05 14:00:00+00:00,29.0,2023-07-05 14:00:00+00:00,1,5,40.0
12h,36,2023-07-11 19:00:00+00:00,2023-07-12 08:00:00+00:00,16,0.15,48,1,2023-07-10 22:00:00+00:00,21.0,2023-07-11 17:00:00+00:00,4,20,34.0
12h,37,2023-07-12 11:00:00+00:00,2023-07-13 05:00:00+00:00,16,0.15,48,1,2023-07-10 22:00:00+00:00,37.0,2023-07-12 10:00:00+00:00,5,22,55.0
12h,38,2023-07-13 08:00:00+00:00,2023-07-14 06:00:00+00:00,16,0.15,48,1,2023-07-11 17:00:00+00:00,39.0,2023-07-12 15:00:00+00:00,4,31,61.0
12h,39,2023-07-14 19:00:00+00:00,2023-07-15 06:00:00+00:00,16,0.15,48,1,2023-07-13 08:00:00+00:00,35.0,2023-07-14 11:00:00+00:00,2,25,46.0
12h,40,2023-07-16 03:00:00+00:00,2023-07-16 12:00:00+00:00,16,0.15,48,1,2023-07-14 11:00:00+00:00,40.0,2023-07-16 02:00:00+00:00,5,25,49.0
12h,41,2023-07-16 15:00:00+00:00,2023-07-17 09:00:00+00:00,16,0.15,48,1,2023-07-14 20:00:00+00:00,43.0,2023-07-16 02:00:00+00:00,4,24,61.0
12h,42,2023-07-18 03:00:00+00:00,2023-07-18 19:00:00+00:00,16,0.15,48,1,2023-07-16 19:00:00+00:00,32.0,2023-07-18 00:00:00+00:00,3,16,48.0
12h,43,2023-08-13 06:00:00+00:00,2023-08-13 09:00:00+00:00,17,0.15,48,1,2023-08-12 23:00:00+00:00,7.0,2023-08-12 23:00:00+00:00,1,25,10.0
24h,32,2023-07-03 07:00:00+00:00,2023-07-03 17:00:00+00:00,16,0.15,48,1,2023-07-01 16:00:00+00:00,39.0,2023-07-02 17:00:00+00:00,4,11,49.0
24h,33,2023-07-04 07:00:00+00:00,2023-07-05 09:00:00+00:00,16,0.15,48,1,2023-07-02 08:00:00+00:00,47.0,2023-07-03 20:00:00+00:00,6,20,73.0
24h,34,2023-07-05 12:00:00+00:00,2023-07-05 18:00:00+00:00,16,0.15,48,1,2023-07-03 15:00:00+00:00,45.0,2023-07-05 11:00:00+00:00,4,33,51.0
24h,35,2023-07-06 19:00:00+00:00,2023-07-07 06:00:00+00:00,16,0.15,48,1,2023-07-05 11:00:00+00:00,32.0,2023-07-05 14:00:00+00:00,2,4,43.0
24h,36,2023-07-11 19:00:00+00:00,2023-07-12 08:00:00+00:00,16,0.15,48,1,2023-07-11 01:00:00+00:00,18.0,2023-07-11 11:00:00+00:00,2,28,31.0
24h,37,2023-07-12 11:00:00+00:00,2023-07-13 05:00:00+00:00,16,0.15,48,1,2023-07-11 01:00:00+00:00,34.0,2023-07-12 07:00:00+00:00,3,39,52.0
24h,38,2023-07-13 08:00:00+00:00,2023-07-14 06:00:00+00:00,16,0.15,48,1,2023-07-11 11:00:00+00:00,45.0,2023-07-12 19:00:00+00:00,3,58,67.0
24h,39,2023-07-14 19:00:00+00:00,2023-07-15 06:00:00+00:00,16,0.15,48,1,2023-07-12 19:00:00+00:00,48.0,2023-07-14 00:00:00+00:00,2,41,59.0
24h,40,2023-07-16 03:00:00+00:00,2023-07-16 12:00:00+00:00,16,0.15,48,1,2023-07-14 19:00:00+00:00,32.0,2023-07-15 21:00:00+00:00,2,23,41.0
24h,41,2023-07-16 15:00:00+00:00,2023-07-17 09:00:00+00:00,16,0.15,48,1,2023-07-14 19:00:00+00:00,44.0,2023-07-16 03:00:00+00:00,3,35,62.0
24h,42,2023-07-18 03:00:00+00:00,2023-07-18 19:00:00+00:00,16,0.15,48,1,2023-07-16 03:00:00+00:00,48.0,2023-07-18 00:00:00+00:00,9,28,64.0
24h,43,2023-08-13 06:00:00+00:00,2023-08-13 09:00:00+00:00,17,0.15,48,1,2023-08-12 19:00:00+00:00,11.0,2023-08-12 22:00:00+00:00,2,29,14.0
