horizon,event_id,warning_number,segment_id,intervention_start,intervention_end,duration_hours,warning_hours,maximum_probability,lead_time_to_event_hours
12h,32,1,16,2023-07-01 16:00:00+00:00,2023-07-01 16:00:00+00:00,1.0,1,0.17644309997558594,39.0
12h,32,2,16,2023-07-01 18:00:00+00:00,2023-07-01 18:00:00+00:00,1.0,1,0.1635490208864212,37.0
12h,32,3,16,2023-07-02 08:00:00+00:00,2023-07-02 09:00:00+00:00,2.0,2,0.4391076862812042,23.0
12h,32,4,16,2023-07-02 11:00:00+00:00,2023-07-02 11:00:00+00:00,1.0,1,0.21579407155513763,20.0
12h,32,5,16,2023-07-02 15:00:00+00:00,2023-07-02 15:00:00+00:00,1.0,1,0.22945819795131683,16.0
12h,32,6,16,2023-07-02 17:00:00+00:00,2023-07-02 17:00:00+00:00,1.0,1,0.2734324038028717,14.0
12h,33,1,16,2023-07-02 08:00:00+00:00,2023-07-02 09:00:00+00:00,2.0,2,0.4391076862812042,47.0
12h,33,2,16,2023-07-02 11:00:00+00:00,2023-07-02 11:00:00+00:00,1.0,1,0.21579407155513763,44.0
12h,33,3,16,2023-07-02 15:00:00+00:00,2023-07-02 15:00:00+00:00,1.0,1,0.22945819795131683,40.0
12h,33,4,16,2023-07-02 17:00:00+00:00,2023-07-02 17:00:00+00:00,1.0,1,0.2734324038028717,38.0
12h,33,5,16,2023-07-03 09:00:00+00:00,2023-07-03 13:00:00+00:00,5.0,5,0.32014116644859314,22.0
12h,33,6,16,2023-07-03 15:00:00+00:00,2023-07-03 18:00:00+00:00,4.0,4,0.40538087487220764,16.0
12h,33,7,16,2023-07-03 21:00:00+00:00,2023-07-03 21:00:00+00:00,1.0,1,0.7634342312812805,10.0
12h,34,1,16,2023-07-03 15:00:00+00:00,2023-07-03 18:00:00+00:00,4.0,4,0.40538087487220764,45.0
12h,34,2,16,2023-07-03 21:00:00+00:00,2023-07-03 21:00:00+00:00,1.0,1,0.7634342312812805,39.0
12h,34,3,16,2023-07-04 07:00:00+00:00,2023-07-05 08:00:00+00:00,26.0,26,0.9044963717460632,29.0
12h,35,1,16,2023-07-05 14:00:00+00:00,2023-07-05 18:00:00+00:00,5.0,5,0.6519413590431213,29.0
12h,36,1,16,2023-07-10 22:00:00+00:00,2023-07-10 22:00:00+00:00,1.0,1,0.16957490146160126,21.0
12h,36,2,16,2023-07-11 02:00:00+00:00,2023-07-11 02:00:00+00:00,1.0,1,0.2182023972272873,17.0
12h,36,3,16,2023-07-11 05:00:00+00:00,2023-07-11 06:00:00+00:00,2.0,2,0.4539431631565094,14.0
12h,36,4,16,2023-07-11 17:00:00+00:00,2023-07-12 08:00:00+00:00,16.0,16,0.7157071828842163,2.0
12h,37,1,16,2023-07-10 22:00:00+00:00,2023-07-10 22:00:00+00:00,1.0,1,0.16957490146160126,37.0
12h,37,2,16,2023-07-11 02:00:00+00:00,2023-07-11 02:00:00+00:00,1.0,1,0.2182023972272873,33.0
12h,37,3,16,2023-07-11 05:00:00+00:00,2023-07-11 06:00:00+00:00,2.0,2,0.4539431631565094,30.0
12h,37,4,16,2023-07-11 17:00:00+00:00,2023-07-12 08:00:00+00:00,16.0,16,0.7157071828842163,18.0
12h,37,5,16,2023-07-12 10:00:00+00:00,2023-07-12 11:00:00+00:00,2.0,2,0.2827273905277252,1.0
12h,38,1,16,2023-07-11 17:00:00+00:00,2023-07-12 08:00:00+00:00,16.0,16,0.7157071828842163,39.0
12h,38,2,16,2023-07-12 10:00:00+00:00,2023-07-12 11:00:00+00:00,2.0,2,0.2827273905277252,22.0
12h,38,3,16,2023-07-12 13:00:00+00:00,2023-07-12 13:00:00+00:00,1.0,1,0.27989453077316284,19.0
12h,38,4,16,2023-07-12 15:00:00+00:00,2023-07-13 02:00:00+00:00,12.0,12,0.6780526638031006,17.0
12h,39,1,16,2023-07-13 08:00:00+00:00,2023-07-14 07:00:00+00:00,24.0,24,0.8562318682670593,35.0
12h,39,2,16,2023-07-14 11:00:00+00:00,2023-07-14 11:00:00+00:00,1.0,1,0.21654722094535828,8.0
12h,40,1,16,2023-07-14 11:00:00+00:00,2023-07-14 11:00:00+00:00,1.0,1,0.21654722094535828,40.0
12h,40,2,16,2023-07-14 20:00:00+00:00,2023-07-15 07:00:00+00:00,12.0,12,0.6014876365661621,31.0
12h,40,3,16,2023-07-15 14:00:00+00:00,2023-07-15 15:00:00+00:00,2.0,2,0.2834981381893158,13.0
12h,40,4,16,2023-07-15 21:00:00+00:00,2023-07-15 22:00:00+00:00,2.0,2,0.22915935516357422,6.0
12h,40,5,16,2023-07-16 02:00:00+00:00,2023-07-16 09:00:00+00:00,8.0,8,0.6696274876594543,1.0
12h,41,1,16,2023-07-14 20:00:00+00:00,2023-07-15 07:00:00+00:00,12.0,12,0.6014876365661621,43.0
12h,41,2,16,2023-07-15 14:00:00+00:00,2023-07-15 15:00:00+00:00,2.0,2,0.2834981381893158,25.0
12h,41,3,16,2023-07-15 21:00:00+00:00,2023-07-15 22:00:00+00:00,2.0,2,0.22915935516357422,18.0
12h,41,4,16,2023-07-16 02:00:00+00:00,2023-07-16 09:00:00+00:00,8.0,8,0.6696274876594543,13.0
12h,42,1,16,2023-07-16 19:00:00+00:00,2023-07-17 02:00:00+00:00,8.0,8,0.4433094263076782,32.0
12h,42,2,16,2023-07-17 04:00:00+00:00,2023-07-17 10:00:00+00:00,7.0,7,0.42241913080215454,23.0
12h,42,3,16,2023-07-18 00:00:00+00:00,2023-07-18 00:00:00+00:00,1.0,1,0.33021080493927,3.0
12h,43,1,17,2023-08-12 23:00:00+00:00,2023-08-13 23:00:00+00:00,25.0,25,0.9936408400535583,7.0
24h,32,1,16,2023-07-01 16:00:00+00:00,2023-07-01 18:00:00+00:00,3.0,3,0.36378616094589233,39.0
24h,32,2,16,2023-07-02 08:00:00+00:00,2023-07-02 12:00:00+00:00,5.0,5,0.5344159603118896,23.0
24h,32,3,16,2023-07-02 14:00:00+00:00,2023-07-02 15:00:00+00:00,2.0,2,0.20130616426467896,17.0
24h,32,4,16,2023-07-02 17:00:00+00:00,2023-07-02 17:00:00+00:00,1.0,1,0.3342646360397339,14.0
24h,33,1,16,2023-07-02 08:00:00+00:00,2023-07-02 12:00:00+00:00,5.0,5,0.5344159603118896,47.0
24h,33,2,16,2023-07-02 14:00:00+00:00,2023-07-02 15:00:00+00:00,2.0,2,0.20130616426467896,41.0
24h,33,3,16,2023-07-02 17:00:00+00:00,2023-07-02 17:00:00+00:00,1.0,1,0.3342646360397339,38.0
24h,33,4,16,2023-07-03 08:00:00+00:00,2023-07-03 13:00:00+00:00,6.0,6,0.7355369925498962,23.0
24h,33,5,16,2023-07-03 15:00:00+00:00,2023-07-03 18:00:00+00:00,4.0,4,0.6898965239524841,16.0
24h,33,6,16,2023-07-03 20:00:00+00:00,2023-07-03 21:00:00+00:00,2.0,2,0.8557308316230774,11.0
24h,34,1,16,2023-07-03 15:00:00+00:00,2023-07-03 18:00:00+00:00,4.0,4,0.6898965239524841,45.0
24h,34,2,16,2023-07-03 20:00:00+00:00,2023-07-03 21:00:00+00:00,2.0,2,0.8557308316230774,40.0
24h,34,3,16,2023-07-04 07:00:00+00:00,2023-07-05 08:00:00+00:00,26.0,26,0.954535961151123,29.0
24h,34,4,16,2023-07-05 11:00:00+00:00,2023-07-05 11:00:00+00:00,1.0,1,0.164169043302536,1.0
24h,35,1,16,2023-07-05 11:00:00+00:00,2023-07-05 11:00:00+00:00,1.0,1,0.164169043302536,32.0
24h,35,2,16,2023-07-05 14:00:00+00:00,2023-07-05 16:00:00+00:00,3.0,3,0.7603871822357178,29.0
24h,36,1,16,2023-07-11 01:00:00+00:00,2023-07-11 09:00:00+00:00,9.0,9,0.4125642478466034,18.0
24h,36,2,16,2023-07-11 11:00:00+00:00,2023-07-12 05:00:00+00:00,19.0,19,0.8687243461608887,8.0
24h,37,1,16,2023-07-11 01:00:00+00:00,2023-07-11 09:00:00+00:00,9.0,9,0.4125642478466034,34.0
24h,37,2,16,2023-07-11 11:00:00+00:00,2023-07-12 05:00:00+00:00,19.0,19,0.8687243461608887,24.0
24h,37,3,16,2023-07-12 07:00:00+00:00,2023-07-12 17:00:00+00:00,11.0,11,0.5058449506759644,4.0
24h,38,1,16,2023-07-11 11:00:00+00:00,2023-07-12 05:00:00+00:00,19.0,19,0.8687243461608887,45.0
24h,38,2,16,2023-07-12 07:00:00+00:00,2023-07-12 17:00:00+00:00,11.0,11,0.5058449506759644,25.0
24h,38,3,16,2023-07-12 19:00:00+00:00,2023-07-13 22:00:00+00:00,28.0,28,0.8037216067314148,13.0
24h,39,1,16,2023-07-12 19:00:00+00:00,2023-07-13 22:00:00+00:00,28.0,28,0.8037216067314148,48.0
24h,39,2,16,2023-07-14 00:00:00+00:00,2023-07-14 12:00:00+00:00,13.0,13,0.6138208508491516,19.0
24h,40,1,16,2023-07-14 19:00:00+00:00,2023-07-15 16:00:00+00:00,22.0,22,0.7951827645301819,32.0
24h,40,2,16,2023-07-15 21:00:00+00:00,2023-07-15 21:00:00+00:00,1.0,1,0.18569415807724,6.0
24h,41,1,16,2023-07-14 19:00:00+00:00,2023-07-15 16:00:00+00:00,22.0,22,0.7951827645301819,44.0
24h,41,2,16,2023-07-15 21:00:00+00:00,2023-07-15 21:00:00+00:00,1.0,1,0.18569415807724,18.0
24h,41,3,16,2023-07-16 03:00:00+00:00,2023-07-16 14:00:00+00:00,12.0,12,0.6142734289169312,12.0
24h,42,1,16,2023-07-16 03:00:00+00:00,2023-07-16 14:00:00+00:00,12.0,12,0.6142734289169312,48.0
24h,42,2,16,2023-07-16 16:00:00+00:00,2023-07-16 16:00:00+00:00,1.0,1,0.23895880579948425,35.0
24h,42,3,16,2023-07-16 18:00:00+00:00,2023-07-16 18:00:00+00:00,1.0,1,0.15664876997470856,33.0
24h,42,4,16,2023-07-16 20:00:00+00:00,2023-07-16 20:00:00+00:00,1.0,1,0.2250019758939743,31.0
24h,42,5,16,2023-07-17 02:00:00+00:00,2023-07-17 02:00:00+00:00,1.0,1,0.22100962698459625,25.0
24h,42,6,16,2023-07-17 06:00:00+00:00,2023-07-17 06:00:00+00:00,1.0,1,0.2406996488571167,21.0
24h,42,7,16,2023-07-17 09:00:00+00:00,2023-07-17 12:00:00+00:00,4.0,4,0.48337680101394653,18.0
24h,42,8,16,2023-07-17 22:00:00+00:00,2023-07-17 22:00:00+00:00,1.0,1,0.2110799103975296,5.0
24h,42,9,16,2023-07-18 00:00:00+00:00,2023-07-18 05:00:00+00:00,6.0,6,0.3309461176395416,3.0
24h,43,1,17,2023-08-12 19:00:00+00:00,2023-08-12 20:00:00+00:00,2.0,2,0.22699733078479767,11.0
24h,43,2,17,2023-08-12 22:00:00+00:00,2023-08-14 00:00:00+00:00,27.0,27,0.9852050542831421,8.0
