timestamp_utc,turbidity,ph,sp_conductance,do_concentration,do_saturation,water_temperature
2011-04-28 20:00:00+00:00,993.4,7.16,0.12,11.6,103.5,10.32
2012-05-21 16:00:52+00:00,711.7,7.39,0.057,12.49,94.7,3.75
2013-05-10 00:00:51+00:00,342.6,7.64,0.066,13.45,106.0,5.25
2013-05-10 01:00:51+00:00,326.9,7.63,0.064,13.31,105.9,5.63
2013-07-03 05:00:52+00:00,590.5,7.14,0.021,13.4,105.6,5.34
2013-07-09 09:00:52+00:00,390.0,6.05,0.024,13.41,105.0,5.08
2013-09-08 09:00:51+00:00,613.4,7.26,0.017,13.1,105.1,6.15
2013-09-08 10:00:51+00:00,391.4,7.22,0.017,13.08,105.0,6.14
2013-09-08 11:00:52+00:00,835.6,7.27,0.018,13.09,104.9,6.06
2013-09-08 12:00:51+00:00,799.3,7.29,0.019,13.08,104.8,6.08
2013-09-08 13:00:51+00:00,904.9,7.32,0.021,13.03,104.7,6.19
2013-09-08 14:00:51+00:00,1063.5,7.41,0.023,12.98,104.4,6.23
2013-09-08 15:00:51+00:00,1226.1,7.47,0.026,12.95,104.2,6.26
2013-09-08 16:00:52+00:00,1281.8,7.81,0.033,13.01,104.1,6.02
2013-09-08 17:00:51+00:00,1278.3,7.86,0.035,13.14,104.3,5.68
2013-09-08 18:00:51+00:00,1275.8,7.81,0.034,13.24,104.6,5.46
2013-09-08 19:00:51+00:00,1264.1,7.73,0.033,13.28,104.8,5.42
2013-09-08 20:00:52+00:00,1146.1,7.66,0.031,13.3,104.9,5.39
2013-09-08 21:00:51+00:00,1230.1,7.59,0.029,13.34,105.1,5.36
2013-09-08 22:00:51+00:00,724.9,7.52,0.027,13.36,105.3,5.35
2013-09-08 23:00:51+00:00,829.1,7.48,0.026,13.35,105.3,5.4
2013-09-09 00:00:51+00:00,735.5,7.47,0.026,13.39,105.6,5.37
2013-09-09 01:00:51+00:00,893.0,7.45,0.024,13.41,105.7,5.39
2013-09-09 02:00:51+00:00,444.8,7.45,0.024,13.43,105.7,5.34
2013-09-09 03:00:51+00:00,479.9,7.41,0.024,13.42,105.6,5.31
2013-09-09 04:00:51+00:00,428.5,7.41,0.024,13.43,105.6,5.28
2013-09-09 05:00:52+00:00,359.9,7.39,0.024,13.42,105.5,5.25
2013-09-09 06:00:51+00:00,364.2,7.38,0.024,13.44,105.5,5.22
2013-09-09 07:00:52+00:00,462.9,7.37,0.024,13.45,105.5,5.18
2013-09-09 08:00:52+00:00,336.2,7.35,0.023,13.47,105.6,5.13
2013-09-21 19:00:51+00:00,344.0,7.44,0.034,13.26,103.1,4.83
2013-09-21 20:00:51+00:00,302.5,7.45,0.034,13.26,103.2,4.88
2014-08-01 05:00:51+00:00,455.7,7.07,0.023,12.17,101.0,7.31
2014-08-12 14:00:51+00:00,697.3,7.01,0.021,12.39,100.7,6.48
2014-08-12 15:00:51+00:00,1199.2,7.14,0.025,12.38,100.2,6.32
2014-08-12 16:00:51+00:00,1060.2,7.16,0.025,12.41,100.2,6.17
2014-08-12 17:00:51+00:00,1214.2,7.22,0.028,12.44,100.0,6.02
2014-08-12 18:00:51+00:00,1069.8,7.3,0.03,12.5,100.2,5.9
2014-08-12 19:00:51+00:00,1216.5,7.33,0.03,12.52,100.4,5.93
2014-08-12 20:00:51+00:00,1207.8,7.34,0.031,12.51,100.3,5.95
2014-08-12 21:00:52+00:00,1178.7,7.31,0.03,12.48,100.6,6.12
2014-08-12 22:00:52+00:00,768.2,7.28,0.029,12.45,100.7,6.29
2014-08-12 23:00:51+00:00,939.8,7.26,0.028,12.42,100.9,6.46
2014-08-13 00:00:51+00:00,711.2,7.24,0.028,12.4,100.9,6.5
2014-08-13 01:00:51+00:00,658.8,7.24,0.027,12.36,100.9,6.65
2014-08-13 02:00:52+00:00,448.7,7.23,0.027,12.37,100.6,6.47
2014-08-13 03:00:52+00:00,786.9,7.2,0.027,12.38,100.5,6.4
2014-08-13 04:00:51+00:00,396.0,7.17,0.026,12.42,100.4,6.25
2014-08-13 05:00:51+00:00,468.0,7.15,0.026,12.44,100.2,6.1
2014-08-13 08:00:51+00:00,510.6,7.15,0.026,12.56,99.9,5.61
2014-08-13 09:00:51+00:00,307.6,7.12,0.026,12.6,99.8,5.46
2014-09-22 11:00:52+00:00,358.9,7.29,0.032,,,5.63
2014-09-22 12:00:51+00:00,312.4,7.32,0.034,,,5.5
2014-09-22 13:00:52+00:00,315.1,7.39,0.036,,,5.36
2014-09-22 14:00:52+00:00,351.9,7.36,0.035,,,5.23
2014-09-22 15:00:52+00:00,430.6,7.33,0.035,,,5.13
2014-09-22 17:00:52+00:00,363.5,7.31,0.035,,,4.99
2014-10-04 16:00:51+00:00,470.1,7.32,0.033,,,5.4
2014-10-04 17:00:51+00:00,427.5,7.35,0.034,,,5.33
2014-10-04 18:00:51+00:00,350.8,7.36,0.034,,,5.25
2014-10-04 19:00:52+00:00,440.8,7.36,0.035,,,5.18
2014-10-04 20:00:52+00:00,333.4,7.36,0.036,,,5.2
2014-10-04 21:00:51+00:00,356.6,7.37,0.037,,,5.23
2014-10-04 22:00:52+00:00,347.1,7.4,0.037,,,5.17
2014-10-04 23:00:51+00:00,529.4,7.38,0.038,,,5.06
2014-10-05 01:00:52+00:00,432.1,7.38,0.038,,,4.94
2014-10-05 02:00:51+00:00,312.3,7.38,0.038,,,4.9
2014-10-05 04:00:52+00:00,326.1,7.37,0.039,,,4.73
2014-10-05 06:00:51+00:00,334.2,7.36,0.04,,,4.59
2014-10-05 08:00:52+00:00,326.3,7.36,0.041,,,4.54
2014-10-05 18:00:52+00:00,312.3,7.36,0.042,,,4.57
2014-10-10 21:00:52+00:00,346.2,7.31,0.034,,,4.6
2014-10-10 22:00:51+00:00,875.2,7.39,0.037,,,4.59
2014-10-10 23:00:51+00:00,558.7,7.4,0.037,,,4.64
2014-10-11 00:00:52+00:00,580.5,7.39,0.037,,,4.66
2014-10-11 01:00:52+00:00,419.0,7.39,0.037,,,4.64
2014-10-11 02:00:51+00:00,466.9,7.39,0.039,,,4.62
2014-10-11 03:00:52+00:00,519.7,7.37,0.039,,,4.6
2014-10-11 04:00:51+00:00,594.7,7.38,0.039,,,4.59
2014-10-11 05:00:52+00:00,418.2,7.36,0.039,,,4.57
2014-10-11 06:00:52+00:00,431.0,7.36,0.038,,,4.57
2015-08-18 14:00:50+00:00,313.4,7.23,0.019,11.67,98.6,8.02
2015-08-18 17:00:51+00:00,309.7,7.27,0.019,11.71,98.3,7.76
2015-08-18 18:00:51+00:00,348.5,7.25,0.02,11.73,98.3,7.7
2015-08-18 21:00:50+00:00,459.2,7.39,0.022,11.72,98.8,7.93
2015-08-18 22:00:50+00:00,382.4,7.27,0.021,11.68,98.6,7.98
2015-08-18 23:00:50+00:00,436.4,7.34,0.022,11.68,98.4,7.92
2015-08-19 00:00:51+00:00,485.1,7.36,0.023,11.74,98.3,7.66
2015-08-19 01:00:50+00:00,621.8,7.4,0.024,11.83,98.2,7.33
2015-08-19 02:00:51+00:00,446.7,7.38,0.025,11.91,98.1,6.97
2015-08-19 03:00:51+00:00,369.4,7.4,0.026,11.99,98.1,6.7
2015-08-19 05:00:51+00:00,423.2,7.37,0.026,12.09,97.9,6.33
2015-08-19 06:00:50+00:00,320.2,7.37,0.026,12.13,97.8,6.14
2015-08-19 08:00:51+00:00,322.6,7.36,0.026,12.21,97.7,5.85
2015-08-22 18:00:51+00:00,1141.7,7.29,0.027,12.15,96.7,5.61
2015-09-11 07:00:51+00:00,1118.6,8.82,0.043,11.93,96.9,6.45
2015-09-11 08:00:51+00:00,924.8,8.57,0.04,11.88,97.1,6.7
2015-09-11 09:00:51+00:00,1181.3,8.09,0.039,11.88,97.2,6.74
2015-09-11 10:00:51+00:00,1199.8,8.06,0.041,11.9,97.1,6.6
2015-09-11 11:00:51+00:00,1205.9,8.21,0.045,11.94,96.9,6.42
2015-09-11 12:00:51+00:00,1202.6,8.12,0.045,12.02,97.0,6.19
2015-09-11 13:00:51+00:00,1197.5,8.01,0.045,12.09,97.1,5.97
2015-09-11 14:00:51+00:00,1200.3,7.89,0.044,12.14,97.1,5.81
2015-09-11 15:00:51+00:00,1081.6,7.77,0.043,12.18,97.0,5.67
2015-09-11 16:00:51+00:00,1195.6,7.76,0.042,12.22,97.1,5.59
2015-09-11 17:00:51+00:00,946.3,7.73,0.041,12.24,97.1,5.54
2015-09-11 18:00:51+00:00,1019.7,7.67,0.041,12.28,97.3,5.48
2015-09-11 19:00:51+00:00,804.3,7.66,0.041,12.29,97.4,5.46
2015-09-11 20:00:51+00:00,638.5,7.64,0.041,12.32,97.5,5.41
2015-09-11 21:00:51+00:00,607.3,7.7,0.042,12.35,97.7,5.39
2015-09-11 22:00:51+00:00,1004.6,7.67,0.042,12.33,97.9,5.54
2015-09-11 23:00:51+00:00,784.3,7.68,0.041,12.28,98.2,5.85
2015-09-12 00:00:51+00:00,638.9,7.66,0.042,12.25,98.0,5.85
2015-09-12 01:00:51+00:00,434.1,7.68,0.041,12.24,97.9,5.82
2015-09-12 02:00:51+00:00,525.5,7.66,0.041,12.23,97.7,5.79
2015-09-12 03:00:51+00:00,406.7,7.65,0.041,12.25,97.6,5.67
2015-09-12 04:00:51+00:00,379.7,7.62,0.04,12.27,97.5,5.56
2015-09-12 06:00:51+00:00,512.2,7.59,0.039,12.34,97.6,5.38
2015-09-12 08:00:51+00:00,322.0,7.57,0.038,12.37,97.6,5.31
2015-09-12 09:00:52+00:00,341.6,7.55,0.038,12.37,97.5,5.25
2015-09-12 11:00:51+00:00,379.5,7.55,0.039,12.42,97.4,5.05
2015-09-12 18:00:51+00:00,515.6,7.56,0.04,12.42,97.3,5.02
2015-09-13 01:00:51+00:00,329.2,7.58,0.04,12.16,97.8,6.07
2015-09-30 02:00:51+00:00,379.5,7.61,0.037,11.74,97.0,7.11
2015-09-30 04:00:51+00:00,527.5,7.64,0.037,11.84,96.9,6.76
2015-09-30 05:00:51+00:00,510.3,7.67,0.039,11.88,96.9,6.59
2015-09-30 06:00:51+00:00,863.0,7.76,0.041,11.95,96.8,6.33
2015-09-30 07:00:51+00:00,997.7,7.82,0.042,12.0,96.8,6.15
2015-09-30 08:00:51+00:00,945.3,7.81,0.042,12.04,96.9,6.08
2015-09-30 09:00:51+00:00,1174.5,7.82,0.042,12.07,97.0,6.03
2015-09-30 10:00:51+00:00,1194.8,7.85,0.043,12.1,96.9,5.87
2015-09-30 11:00:51+00:00,1195.1,7.82,0.043,12.13,96.6,5.64
2015-09-30 12:00:51+00:00,1191.8,7.8,0.044,12.2,96.4,5.38
2015-09-30 13:00:51+00:00,1193.5,7.78,0.045,12.26,96.3,5.12
2015-09-30 14:00:51+00:00,907.4,7.78,0.045,12.36,96.5,4.88
2015-09-30 15:00:51+00:00,1026.4,7.74,0.045,12.44,96.5,4.64
2015-09-30 16:00:51+00:00,1123.6,7.73,0.046,12.49,96.4,4.45
2015-09-30 17:00:51+00:00,1029.4,7.72,0.046,12.56,96.5,4.28
2015-09-30 18:00:51+00:00,876.5,7.73,0.047,12.59,96.6,4.22
2015-09-30 19:00:51+00:00,993.8,7.72,0.047,12.59,96.6,4.22
2015-09-30 20:00:51+00:00,886.6,7.73,0.047,12.58,96.8,4.3
2015-09-30 21:00:51+00:00,701.4,7.73,0.048,12.56,96.8,4.39
2015-09-30 22:00:51+00:00,838.4,7.71,0.048,12.53,96.9,4.5
2015-09-30 23:00:51+00:00,761.4,7.73,0.048,12.53,96.9,4.53
2015-10-01 00:00:51+00:00,628.7,7.71,0.048,12.51,96.8,4.55
2015-10-01 01:00:51+00:00,732.2,7.7,0.049,12.49,96.8,4.63
2015-10-01 02:00:51+00:00,477.9,7.69,0.049,12.48,96.8,4.61
