horizon,segment_id,intervention_start,intervention_end,duration_hours,warning_hours,maximum_risk_probability,mean_risk_probability,matched_event_id,matched_event_start,lead_time_hours,useful_intervention
24h,16,2023-05-08 06:00:00+00:00,2023-05-08 07:00:00+00:00,2.0,2,0.18652236461639404,0.17960920929908752,,,,0
24h,16,2023-05-09 10:00:00+00:00,2023-05-09 10:00:00+00:00,1.0,1,0.1597110629081726,0.1597110629081726,,,,0
24h,16,2023-05-09 22:00:00+00:00,2023-05-09 22:00:00+00:00,1.0,1,0.17833776772022247,0.17833776772022247,,,,0
24h,16,2023-05-25 23:00:00+00:00,2023-05-26 01:00:00+00:00,3.0,3,0.3175498843193054,0.25856804847717285,,,,0
24h,16,2023-05-26 11:00:00+00:00,2023-05-26 23:00:00+00:00,13.0,13,0.6041393876075745,0.35596415400505066,,,,0
24h,16,2023-05-29 05:00:00+00:00,2023-05-29 05:00:00+00:00,1.0,1,0.26040396094322205,0.26040396094322205,,,,0
24h,16,2023-06-09 01:00:00+00:00,2023-06-09 01:00:00+00:00,1.0,1,0.22630193829536438,0.22630193829536438,,,,0
24h,16,2023-06-09 03:00:00+00:00,2023-06-09 03:00:00+00:00,1.0,1,0.22614836692810059,0.22614836692810059,,,,0
24h,16,2023-06-09 06:00:00+00:00,2023-06-09 12:00:00+00:00,7.0,7,0.3545742332935333,0.22826538980007172,,,,0
24h,16,2023-06-09 14:00:00+00:00,2023-06-09 22:00:00+00:00,9.0,9,0.4220122694969177,0.2516675889492035,,,,0
24h,16,2023-06-12 18:00:00+00:00,2023-06-12 20:00:00+00:00,3.0,3,0.3174247443675995,0.2632032632827759,,,,0
24h,16,2023-06-19 05:00:00+00:00,2023-06-19 05:00:00+00:00,1.0,1,0.24320761859416962,0.24320761859416962,,,,0
24h,16,2023-06-19 10:00:00+00:00,2023-06-19 10:00:00+00:00,1.0,1,0.20335526764392853,0.20335526764392853,,,,0
24h,16,2023-06-19 13:00:00+00:00,2023-06-19 14:00:00+00:00,2.0,2,0.19997139275074005,0.17500796914100647,,,,0
24h,16,2023-06-19 19:00:00+00:00,2023-06-19 19:00:00+00:00,1.0,1,0.16056719422340393,0.16056719422340393,,,,0
24h,16,2023-06-22 10:00:00+00:00,2023-06-22 17:00:00+00:00,8.0,8,0.624972403049469,0.4463483691215515,,,,0
24h,16,2023-06-23 14:00:00+00:00,2023-06-23 14:00:00+00:00,1.0,1,0.26593801379203796,0.26593801379203796,,,,0
24h,16,2023-06-23 18:00:00+00:00,2023-06-23 18:00:00+00:00,1.0,1,0.16503886878490448,0.16503886878490448,,,,0
24h,16,2023-06-23 21:00:00+00:00,2023-06-23 21:00:00+00:00,1.0,1,0.15066257119178772,0.15066257119178772,,,,0
24h,16,2023-06-23 23:00:00+00:00,2023-06-23 23:00:00+00:00,1.0,1,0.29568031430244446,0.29568031430244446,,,,0
24h,16,2023-06-24 03:00:00+00:00,2023-06-24 03:00:00+00:00,1.0,1,0.46659961342811584,0.46659961342811584,,,,0
24h,16,2023-06-24 07:00:00+00:00,2023-06-24 19:00:00+00:00,13.0,13,0.9347684383392334,0.6583634614944458,,,,0
24h,16,2023-06-24 21:00:00+00:00,2023-06-24 23:00:00+00:00,3.0,3,0.4749409258365631,0.37492743134498596,,,,0
24h,16,2023-06-26 03:00:00+00:00,2023-06-26 04:00:00+00:00,2.0,2,0.6185864210128784,0.46377044916152954,,,,0
24h,16,2023-06-26 13:00:00+00:00,2023-06-26 13:00:00+00:00,1.0,1,0.30822300910949707,0.30822300910949707,,,,0
24h,16,2023-06-27 03:00:00+00:00,2023-06-27 03:00:00+00:00,1.0,1,0.16559895873069763,0.16559895873069763,,,,0
24h,16,2023-06-27 07:00:00+00:00,2023-06-27 10:00:00+00:00,4.0,4,0.8437297940254211,0.5389894247055054,,,,0
