horizon,segment_id,intervention_start,intervention_end,duration_hours,warning_hours,maximum_risk_probability,mean_risk_probability,matched_event_id,matched_event_start,lead_time_hours,useful_intervention
12h,16,2023-04-22 22:00:00+00:00,2023-04-22 22:00:00+00:00,1.0,1,0.20897026360034943,0.20897026360034943,,,,0
12h,16,2023-05-13 17:00:00+00:00,2023-05-13 17:00:00+00:00,1.0,1,0.16491734981536865,0.16491734981536865,,,,0
12h,16,2023-05-26 19:00:00+00:00,2023-05-26 21:00:00+00:00,3.0,3,0.2920895516872406,0.2200804501771927,,,,0
12h,16,2023-06-09 14:00:00+00:00,2023-06-09 14:00:00+00:00,1.0,1,0.17101360857486725,0.17101360857486725,,,,0
12h,16,2023-06-09 16:00:00+00:00,2023-06-09 18:00:00+00:00,3.0,3,0.23992425203323364,0.21696138381958008,,,,0
12h,16,2023-06-24 12:00:00+00:00,2023-06-24 16:00:00+00:00,5.0,5,0.46127915382385254,0.3804406523704529,,,,0
12h,16,2023-06-26 04:00:00+00:00,2023-06-26 04:00:00+00:00,1.0,1,0.2558869421482086,0.2558869421482086,,,,0
12h,16,2023-06-27 07:00:00+00:00,2023-06-27 08:00:00+00:00,2.0,2,0.5062628984451294,0.4959871768951416,,,,0
12h,16,2023-06-27 10:00:00+00:00,2023-06-27 12:00:00+00:00,3.0,3,0.8460270762443542,0.4434237480163574,,,,0
12h,16,2023-06-27 14:00:00+00:00,2023-06-27 14:00:00+00:00,1.0,1,0.2947307527065277,0.2947307527065277,,,,0
12h,16,2023-06-27 19:00:00+00:00,2023-06-27 19:00:00+00:00,1.0,1,0.2723320424556732,0.2723320424556732,,,,0
12h,16,2023-07-01 16:00:00+00:00,2023-07-01 16:00:00+00:00,1.0,1,0.17644309997558594,0.17644309997558594,32.0,2023-07-03 07:00:00+00:00,39.0,1
12h,16,2023-07-01 18:00:00+00:00,2023-07-01 18:00:00+00:00,1.0,1,0.1635490208864212,0.1635490208864212,32.0,2023-07-03 07:00:00+00:00,37.0,1
12h,16,2023-07-02 08:00:00+00:00,2023-07-02 09:00:00+00:00,2.0,2,0.4391076862812042,0.3072727620601654,32.0,2023-07-03 07:00:00+00:00,23.0,1
12h,16,2023-07-02 11:00:00+00:00,2023-07-02 11:00:00+00:00,1.0,1,0.21579407155513763,0.21579407155513763,32.0,2023-07-03 07:00:00+00:00,20.0,1
12h,16,2023-07-02 15:00:00+00:00,2023-07-02 15:00:00+00:00,1.0,1,0.22945819795131683,0.22945819795131683,32.0,2023-07-03 07:00:00+00:00,16.0,1
12h,16,2023-07-02 17:00:00+00:00,2023-07-02 17:00:00+00:00,1.0,1,0.2734324038028717,0.2734324038028717,32.0,2023-07-03 07:00:00+00:00,14.0,1
12h,16,2023-07-03 09:00:00+00:00,2023-07-03 13:00:00+00:00,5.0,5,0.32014116644859314,0.2498975545167923,33.0,2023-07-04 07:00:00+00:00,22.0,1
12h,16,2023-07-03 15:00:00+00:00,2023-07-03 18:00:00+00:00,4.0,4,0.40538087487220764,0.33808234333992004,33.0,2023-07-04 07:00:00+00:00,16.0,1
12h,16,2023-07-03 21:00:00+00:00,2023-07-03 21:00:00+00:00,1.0,1,0.7634342312812805,0.7634342312812805,33.0,2023-07-04 07:00:00+00:00,10.0,1
12h,16,2023-07-04 07:00:00+00:00,2023-07-05 08:00:00+00:00,26.0,26,0.9044963717460632,0.6176667809486389,34.0,2023-07-05 12:00:00+00:00,29.0,1
12h,16,2023-07-05 14:00:00+00:00,2023-07-05 18:00:00+00:00,5.0,5,0.6519413590431213,0.3201223611831665,35.0,2023-07-06 19:00:00+00:00,29.0,1
12h,16,2023-07-06 21:00:00+00:00,2023-07-06 22:00:00+00:00,2.0,2,0.298256516456604,0.2409854233264923,,,,0
12h,16,2023-07-07 00:00:00+00:00,2023-07-07 00:00:00+00:00,1.0,1,0.17915315926074982,0.17915315926074982,,,,0
12h,16,2023-07-07 02:00:00+00:00,2023-07-07 06:00:00+00:00,5.0,5,0.7657368779182434,0.587212324142456,,,,0
12h,16,2023-07-08 00:00:00+00:00,2023-07-08 20:00:00+00:00,21.0,21,0.8449524641036987,0.5861765146255493,,,,0
12h,16,2023-07-08 22:00:00+00:00,2023-07-08 22:00:00+00:00,1.0,1,0.3347749412059784,0.3347749412059784,,,,0
12h,16,2023-07-09 06:00:00+00:00,2023-07-09 06:00:00+00:00,1.0,1,0.21877062320709229,0.21877062320709229,,,,0
12h,16,2023-07-10 22:00:00+00:00,2023-07-10 22:00:00+00:00,1.0,1,0.16957490146160126,0.16957490146160126,36.0,2023-07-11 19:00:00+00:00,21.0,1
12h,16,2023-07-11 02:00:00+00:00,2023-07-11 02:00:00+00:00,1.0,1,0.2182023972272873,0.2182023972272873,36.0,2023-07-11 19:00:00+00:00,17.0,1
12h,16,2023-07-11 05:00:00+00:00,2023-07-11 06:00:00+00:00,2.0,2,0.4539431631565094,0.40689659118652344,36.0,2023-07-11 19:00:00+00:00,14.0,1
12h,16,2023-07-11 17:00:00+00:00,2023-07-12 08:00:00+00:00,16.0,16,0.7157071828842163,0.4813916087150574,36.0,2023-07-11 19:00:00+00:00,2.0,1
12h,16,2023-07-12 10:00:00+00:00,2023-07-12 11:00:00+00:00,2.0,2,0.2827273905277252,0.2626136839389801,37.0,2023-07-12 11:00:00+00:00,1.0,1
12h,16,2023-07-12 13:00:00+00:00,2023-07-12 13:00:00+00:00,1.0,1,0.27989453077316284,0.27989453077316284,38.0,2023-07-13 08:00:00+00:00,19.0,1
12h,16,2023-07-12 15:00:00+00:00,2023-07-13 02:00:00+00:00,12.0,12,0.6780526638031006,0.3662600815296173,38.0,2023-07-13 08:00:00+00:00,17.0,1
12h,16,2023-07-13 08:00:00+00:00,2023-07-14 07:00:00+00:00,24.0,24,0.8562318682670593,0.4135664403438568,39.0,2023-07-14 19:00:00+00:00,35.0,1
12h,16,2023-07-14 11:00:00+00:00,2023-07-14 11:00:00+00:00,1.0,1,0.21654722094535828,0.21654722094535828,39.0,2023-07-14 19:00:00+00:00,8.0,1
12h,16,2023-07-14 20:00:00+00:00,2023-07-15 07:00:00+00:00,12.0,12,0.6014876365661621,0.37748098373413086,40.0,2023-07-16 03:00:00+00:00,31.0,1
12h,16,2023-07-15 14:00:00+00:00,2023-07-15 15:00:00+00:00,2.0,2,0.2834981381893158,0.26091477274894714,40.0,2023-07-16 03:00:00+00:00,13.0,1
12h,16,2023-07-15 21:00:00+00:00,2023-07-15 22:00:00+00:00,2.0,2,0.22915935516357422,0.2118282914161682,40.0,2023-07-16 03:00:00+00:00,6.0,1
12h,16,2023-07-16 02:00:00+00:00,2023-07-16 09:00:00+00:00,8.0,8,0.6696274876594543,0.4200340211391449,40.0,2023-07-16 03:00:00+00:00,1.0,1
12h,16,2023-07-16 19:00:00+00:00,2023-07-17 02:00:00+00:00,8.0,8,0.4433094263076782,0.30533266067504883,42.0,2023-07-18 03:00:00+00:00,32.0,1
12h,16,2023-07-17 04:00:00+00:00,2023-07-17 10:00:00+00:00,7.0,7,0.42241913080215454,0.30379441380500793,42.0,2023-07-18 03:00:00+00:00,23.0,1
12h,16,2023-07-18 00:00:00+00:00,2023-07-18 00:00:00+00:00,1.0,1,0.33021080493927,0.33021080493927,42.0,2023-07-18 03:00:00+00:00,3.0,1
12h,16,2023-07-18 03:00:00+00:00,2023-07-18 04:00:00+00:00,2.0,2,0.1725030094385147,0.16472774744033813,,,,0
12h,16,2023-07-18 06:00:00+00:00,2023-07-18 06:00:00+00:00,1.0,1,0.18439669907093048,0.18439669907093048,,,,0
12h,16,2023-07-18 18:00:00+00:00,2023-07-18 18:00:00+00:00,1.0,1,0.2712874114513397,0.2712874114513397,,,,0
12h,16,2023-07-18 23:00:00+00:00,2023-07-19 00:00:00+00:00,2.0,2,0.5388728976249695,0.4032718539237976,,,,0
12h,16,2023-07-19 02:00:00+00:00,2023-07-19 06:00:00+00:00,5.0,5,0.5970020294189453,0.31938427686691284,,,,0
12h,16,2023-07-20 07:00:00+00:00,2023-07-20 07:00:00+00:00,1.0,1,0.314188152551651,0.314188152551651,,,,0
12h,17,2023-07-23 08:00:00+00:00,2023-07-23 08:00:00+00:00,1.0,1,0.2448803037405014,0.2448803037405014,,,,0
12h,17,2023-08-02 06:00:00+00:00,2023-08-02 06:00:00+00:00,1.0,1,0.3588731288909912,0.3588731288909912,,,,0
12h,17,2023-08-04 19:00:00+00:00,2023-08-04 19:00:00+00:00,1.0,1,0.27417951822280884,0.27417951822280884,,,,0
12h,17,2023-08-04 21:00:00+00:00,2023-08-04 21:00:00+00:00,1.0,1,0.2809458374977112,0.2809458374977112,,,,0
12h,17,2023-08-12 23:00:00+00:00,2023-08-13 23:00:00+00:00,25.0,25,0.9936408400535583,0.6848537921905518,43.0,2023-08-13 06:00:00+00:00,7.0,1
12h,17,2023-08-14 09:00:00+00:00,2023-08-14 09:00:00+00:00,1.0,1,0.20158344507217407,0.20158344507217407,,,,0
12h,17,2023-08-16 22:00:00+00:00,2023-08-16 22:00:00+00:00,1.0,1,0.1547347605228424,0.1547347605228424,,,,0
12h,17,2023-08-29 18:00:00+00:00,2023-08-29 18:00:00+00:00,1.0,1,0.32912811636924744,0.32912811636924744,,,,0
12h,17,2023-09-01 10:00:00+00:00,2023-09-01 10:00:00+00:00,1.0,1,0.31588104367256165,0.31588104367256165,,,,0
12h,17,2023-09-01 12:00:00+00:00,2023-09-01 20:00:00+00:00,9.0,9,0.49168211221694946,0.2477855384349823,,,,0
