segment_id,start_time,end_time,observations
1,2011-04-25 23:00:51+00:00,2011-07-25 20:00:52+00:00,2178
2,2011-09-15 05:00:51+00:00,2011-11-14 22:00:53+00:00,1456
3,2012-04-17 00:00:51+00:00,2012-11-19 18:00:53+00:00,5191
4,2013-04-17 00:00:50+00:00,2013-10-02 12:00:51+00:00,4039
5,2014-04-07 22:00:51+00:00,2014-11-15 00:00:52+00:00,5293
6,2015-04-07 01:00:51+00:00,2015-11-19 21:00:52+00:00,5432
7,2016-04-08 17:00:50+00:00,2016-11-09 21:00:53+00:00,5155
8,2017-04-12 20:52:52+00:00,2017-09-15 07:52:54+00:00,3724
9,2017-10-06 02:52:52+00:00,2017-11-09 16:52:55+00:00,829
10,2018-04-23 23:00:33+00:00,2018-05-01 19:00:34+00:00,189
11,2018-05-04 04:00:51+00:00,2018-11-07 23:00:56+00:00,4502
12,2019-06-27 00:00:51+00:00,2019-11-22 21:00:55+00:00,3569
13,2020-06-01 03:00:52+00:00,2020-11-04 21:00:54+00:00,3759
14,2021-07-15 00:00:00+00:00,2021-08-22 01:00:00+00:00,910
15,2021-09-07 07:00:00+00:00,2021-11-09 19:00:00+00:00,1522
16,2022-04-17 04:00:00+00:00,2022-11-06 06:00:00+00:00,4862
17,2023-04-19 21:00:00+00:00,2023-07-20 21:00:00+00:00,2206
18,2023-07-21 05:00:00+00:00,2023-10-27 18:00:00+00:00,2358
19,2024-04-24 21:00:00+00:00,2024-10-24 21:00:00+00:00,4378
