horizon,event_id,event_start,threshold,predictive_action_time,predictive_lead_time_hours,predictive_detected
12h,32,2023-07-03 07:00:00+00:00,0.15,2023-07-01 16:00:00+00:00,39.0,1
12h,33,2023-07-04 07:00:00+00:00,0.15,2023-07-02 08:00:00+00:00,47.0,1
12h,34,2023-07-05 12:00:00+00:00,0.15,2023-07-03 12:00:00+00:00,48.0,1
12h,35,2023-07-06 19:00:00+00:00,0.15,2023-07-04 19:00:00+00:00,48.0,1
12h,36,2023-07-11 19:00:00+00:00,0.15,2023-07-10 22:00:00+00:00,21.0,1
12h,37,2023-07-12 11:00:00+00:00,0.15,2023-07-10 22:00:00+00:00,37.0,1
12h,38,2023-07-13 08:00:00+00:00,0.15,2023-07-11 17:00:00+00:00,39.0,1
12h,39,2023-07-14 19:00:00+00:00,0.15,2023-07-12 19:00:00+00:00,48.0,1
12h,40,2023-07-16 03:00:00+00:00,0.15,2023-07-14 03:00:00+00:00,48.0,1
12h,41,2023-07-16 15:00:00+00:00,0.15,2023-07-14 20:00:00+00:00,43.0,1
12h,42,2023-07-18 03:00:00+00:00,0.15,2023-07-16 03:00:00+00:00,48.0,1
12h,43,2023-08-13 06:00:00+00:00,0.15,2023-08-12 23:00:00+00:00,7.0,1
24h,32,2023-07-03 07:00:00+00:00,0.15,2023-07-01 16:00:00+00:00,39.0,1
24h,33,2023-07-04 07:00:00+00:00,0.15,2023-07-02 08:00:00+00:00,47.0,1
24h,34,2023-07-05 12:00:00+00:00,0.15,2023-07-03 12:00:00+00:00,48.0,1
24h,35,2023-07-06 19:00:00+00:00,0.15,2023-07-04 19:00:00+00:00,48.0,1
24h,36,2023-07-11 19:00:00+00:00,0.15,2023-07-11 01:00:00+00:00,18.0,1
24h,37,2023-07-12 11:00:00+00:00,0.15,2023-07-11 01:00:00+00:00,34.0,1
24h,38,2023-07-13 08:00:00+00:00,0.15,2023-07-11 08:00:00+00:00,48.0,1
24h,39,2023-07-14 19:00:00+00:00,0.15,2023-07-12 19:00:00+00:00,48.0,1
24h,40,2023-07-16 03:00:00+00:00,0.15,2023-07-14 03:00:00+00:00,48.0,1
24h,41,2023-07-16 15:00:00+00:00,0.15,2023-07-14 19:00:00+00:00,44.0,1
24h,42,2023-07-18 03:00:00+00:00,0.15,2023-07-16 03:00:00+00:00,48.0,1
24h,43,2023-08-13 06:00:00+00:00,0.15,2023-08-12 19:00:00+00:00,11.0,1
