event_id,event_start,event_end,reactive_action_time,reactive_lead_time_hours,reactive_detected
32,2023-07-03 07:00:00+00:00,2023-07-03 17:00:00+00:00,2023-07-03 07:00:00+00:00,0.0,1
33,2023-07-04 07:00:00+00:00,2023-07-05 09:00:00+00:00,2023-07-04 07:00:00+00:00,0.0,1
34,2023-07-05 12:00:00+00:00,2023-07-05 18:00:00+00:00,2023-07-05 12:00:00+00:00,0.0,1
35,2023-07-06 19:00:00+00:00,2023-07-07 06:00:00+00:00,2023-07-06 19:00:00+00:00,0.0,1
36,2023-07-11 19:00:00+00:00,2023-07-12 08:00:00+00:00,2023-07-11 19:00:00+00:00,0.0,1
37,2023-07-12 11:00:00+00:00,2023-07-13 05:00:00+00:00,2023-07-12 11:00:00+00:00,0.0,1
38,2023-07-13 08:00:00+00:00,2023-07-14 06:00:00+00:00,2023-07-13 08:00:00+00:00,0.0,1
39,2023-07-14 19:00:00+00:00,2023-07-15 06:00:00+00:00,2023-07-14 19:00:00+00:00,0.0,1
40,2023-07-16 03:00:00+00:00,2023-07-16 12:00:00+00:00,2023-07-16 03:00:00+00:00,0.0,1
41,2023-07-16 15:00:00+00:00,2023-07-17 09:00:00+00:00,2023-07-16 15:00:00+00:00,0.0,1
42,2023-07-18 03:00:00+00:00,2023-07-18 19:00:00+00:00,2023-07-18 03:00:00+00:00,0.0,1
43,2023-08-13 06:00:00+00:00,2023-08-13 09:00:00+00:00,2023-08-13 06:00:00+00:00,0.0,1
