horizon,model,precision,recall,f1,roc_auc,pr_auc
1h,Logistic Regression,0.2929,0.9337,0.4459,0.9714,0.6607
6h,Logistic Regression,0.2927,0.8549,0.436,0.9298,0.6081
12h,Logistic Regression,0.2465,0.7724,0.3738,0.8822,0.5195
24h,Logistic Regression,0.2095,0.6965,0.3221,0.8024,0.47
1h,Random Forest,0.65,0.2155,0.3237,0.9744,0.5548
6h,Random Forest,0.4301,0.1262,0.1951,0.9205,0.4018
12h,Random Forest,0.5577,0.2107,0.3058,0.8721,0.3999
24h,Random Forest,0.6691,0.3228,0.4355,0.8216,0.4495
1h,XGBoost,0.5286,0.2044,0.2948,0.964,0.4496
6h,XGBoost,0.2632,0.0946,0.1392,0.8806,0.2873
12h,XGBoost,0.3604,0.1719,0.2328,0.8273,0.2764
24h,XGBoost,0.3811,0.1912,0.2547,0.7638,0.2614
