horizon,threshold,warning_window_hours,test_events,detected_events,missed_events,detection_rate_percent,mean_lead_time_hours,median_lead_time_hours,minimum_lead_time_hours,maximum_lead_time_hours,total_test_warnings
1h,0.25,24,12,7,5,58.33,20.14,21.0,14.0,24.0,110
1h,0.25,48,12,9,3,75.0,38.33,43.0,16.0,48.0,110
1h,0.25,72,12,10,2,83.33,54.3,71.0,16.0,72.0,110
6h,0.2,24,12,11,1,91.67,18.55,20.0,4.0,24.0,222
6h,0.2,48,12,11,1,91.67,35.36,42.0,4.0,48.0,222
6h,0.2,72,12,11,1,91.67,53.09,70.0,4.0,72.0,222
12h,0.15,24,12,11,1,91.67,21.27,23.0,7.0,24.0,457
12h,0.15,48,12,12,0,100.0,39.42,45.0,7.0,48.0,457
12h,0.15,72,12,12,0,100.0,58.17,68.0,7.0,72.0,457
24h,0.15,24,12,11,1,91.67,21.82,24.0,11.0,24.0,791
24h,0.15,48,12,12,0,100.0,40.08,47.5,11.0,48.0,791
24h,0.15,72,12,12,0,100.0,61.75,71.5,11.0,72.0,791
