feature,12h,24h,rank_12h,rank_24h
turbidity,9.5461,1.5886,1.0,14.0
turbidity_change_24h,9.4316,9.3434,2.0,1.0
turbidity_rolling_std_6h,4.7164,0.2689,3.0,109.0
turbidity_change_6h,3.496,1.0749,4.0,21.0
turbidity_change_3h,2.3544,0.4588,5.0,74.0
turbidity_rolling_mean_24h,1.7433,1.3028,6.0,15.0
missingindicator_water_temperature,1.4624,0.713,7.0,38.0
sp_conductance_change_6h,1.447,1.2359,8.0,18.0
do_saturation_lag_1h,1.3768,0.8746,9.0,29.0
water_temperature_rolling_max_6h,1.3604,0.4701,10.0,72.0
sp_conductance_change_12h,1.357,0.5257,11.0,59.0
sp_conductance_change_24h,1.3502,1.7262,12.0,10.0
sp_conductance_change_3h,1.0779,1.8903,13.0,9.0
day_of_year,1.062,0.8837,14.0,28.0
turbidity_change_12h,1.0217,0.5481,15.0,52.0
sp_conductance_lag_3h,1.0126,0.4041,16.0,85.0
sp_conductance_lag_1h,0.9492,0.8204,17.0,31.0
water_temperature_rolling_max_24h,0.9105,1.0696,18.0,22.0
water_temperature_rolling_std_24h,0.8431,0.6537,19.0,43.0
do_saturation_rolling_max_24h,0.8377,0.953,20.0,24.0
month_cos,0.8348,1.95,21.0,8.0
do_concentration_rolling_max_24h,0.8301,0.599,22.0,49.0
do_saturation_change_3h,0.8129,0.3863,23.0,90.0
do_saturation_rolling_mean_12h,0.8115,0.4048,24.0,84.0
do_saturation,0.7822,0.6144,25.0,47.0
water_temperature_change_6h,0.7775,0.5334,26.0,58.0
turbidity_rolling_max_24h,0.7759,0.6337,27.0,46.0
do_saturation_lag_24h,0.7429,0.8094,28.0,32.0
water_temperature_rolling_mean_6h,0.7263,0.4111,29.0,83.0
water_temperature_lag_3h,0.7218,0.1433,30.0,141.0
ph_change_24h,0.719,1.053,31.0,23.0
sp_conductance_lag_24h,0.7141,0.609,32.0,48.0
turbidity_rolling_std_12h,0.7068,0.3659,33.0,92.0
month,0.7042,0.1617,34.0,136.0
do_saturation_rolling_mean_6h,0.6999,1.1746,35.0,19.0
turbidity_rolling_mean_6h,0.6897,0.6447,36.0,45.0
do_concentration_rolling_mean_12h,0.6794,0.2581,37.0,113.0
turbidity_lag_1h,0.6781,0.945,38.0,25.0
water_temperature_rolling_mean_24h,0.6765,0.4569,39.0,76.0
turbidity_rolling_std_24h,0.6656,0.579,40.0,50.0
do_concentration_rolling_max_6h,0.6606,0.2387,41.0,118.0
sp_conductance_lag_12h,0.6606,0.5459,42.0,54.0
missingindicator_sp_conductance_rolling_mean_6h,0.6585,0.1982,43.0,128.0
