timestamp_utc,water_temperature,sp_conductance,ph,do_concentration,do_saturation,turbidity,segment_id,high_turbidity,timestamp,hour,day_of_week,month,day_of_year,hour_sin,hour_cos,month_sin,month_cos,water_temperature_lag_1h,water_temperature_lag_3h,water_temperature_lag_6h,water_temperature_lag_12h,water_temperature_lag_24h,sp_conductance_lag_1h,sp_conductance_lag_3h,sp_conductance_lag_6h,sp_conductance_lag_12h,sp_conductance_lag_24h,ph_lag_1h,ph_lag_3h,ph_lag_6h,ph_lag_12h,ph_lag_24h,do_concentration_lag_1h,do_concentration_lag_3h,do_concentration_lag_6h,do_concentration_lag_12h,do_concentration_lag_24h,do_saturation_lag_1h,do_saturation_lag_3h,do_saturation_lag_6h,do_saturation_lag_12h,do_saturation_lag_24h,turbidity_lag_1h,turbidity_lag_3h,turbidity_lag_6h,turbidity_lag_12h,turbidity_lag_24h,water_temperature_change_3h,water_temperature_change_6h,water_temperature_change_12h,water_temperature_change_24h,sp_conductance_change_3h,sp_conductance_change_6h,sp_conductance_change_12h,sp_conductance_change_24h,ph_change_3h,ph_change_6h,ph_change_12h,ph_change_24h,do_concentration_change_3h,do_concentration_change_6h,do_concentration_change_12h,do_concentration_change_24h,do_saturation_change_3h,do_saturation_change_6h,do_saturation_change_12h,do_saturation_change_24h,turbidity_change_3h,turbidity_change_6h,turbidity_change_12h,turbidity_change_24h,water_temperature_rolling_mean_6h,water_temperature_rolling_max_6h,water_temperature_rolling_std_6h,water_temperature_rolling_mean_12h,water_temperature_rolling_max_12h,water_temperature_rolling_std_12h,water_temperature_rolling_mean_24h,water_temperature_rolling_max_24h,water_temperature_rolling_std_24h,sp_conductance_rolling_mean_6h,sp_conductance_rolling_max_6h,sp_conductance_rolling_std_6h,sp_conductance_rolling_mean_12h,sp_conductance_rolling_max_12h,sp_conductance_rolling_std_12h,sp_conductance_rolling_mean_24h,sp_conductance_rolling_max_24h,sp_conductance_rolling_std_24h,ph_rolling_mean_6h,ph_rolling_max_6h,ph_rolling_std_6h,ph_rolling_mean_12h,ph_rolling_max_12h,ph_rolling_std_12h,ph_rolling_mean_24h,ph_rolling_max_24h,ph_rolling_std_24h,do_concentration_rolling_mean_6h,do_concentration_rolling_max_6h,do_concentration_rolling_std_6h,do_concentration_rolling_mean_12h,do_concentration_rolling_max_12h,do_concentration_rolling_std_12h,do_concentration_rolling_mean_24h,do_concentration_rolling_max_24h,do_concentration_rolling_std_24h,do_saturation_rolling_mean_6h,do_saturation_rolling_max_6h,do_saturation_rolling_std_6h,do_saturation_rolling_mean_12h,do_saturation_rolling_max_12h,do_saturation_rolling_std_12h,do_saturation_rolling_mean_24h,do_saturation_rolling_max_24h,do_saturation_rolling_std_24h,turbidity_rolling_mean_6h,turbidity_rolling_max_6h,turbidity_rolling_std_6h,turbidity_rolling_mean_12h,turbidity_rolling_max_12h,turbidity_rolling_std_12h,turbidity_rolling_mean_24h,turbidity_rolling_max_24h,turbidity_rolling_std_24h,turbidity_change_1h,turbidity_ratio_1h,risk_probability_1h,risk_probability_6h,risk_probability_12h,risk_probability_24h,predicted_risk_horizon,risk_level,turbidity_trend_6h,ph_trend_6h,do_concentration_trend_6h,sp_conductance_trend_6h,water_temperature_trend_6h,actual_high_turbidity
2022-09-24 00:00:00+00:00,5.3,0.037,7.39,12.84,101.3,46.2,15,False,2022-09-24 00:00:00+00:00,0,5,9,267,0.0,1.0,-1.0,-1.8369701987210297e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3976615e-05,6.0806025e-05,0.00039477693,0.0023153718,NO SIGNIFICANT RISK,LOW,,,,,,False
2022-09-24 01:00:00+00:00,5.42,0.037,7.4,12.8,101.3,50.5,15,False,2022-09-24 01:00:00+00:00,1,5,9,267,0.25881904510252074,0.9659258262890683,-1.0,-1.8369701987210297e-16,5.3,,,,,0.037,,,,,7.39,,,,,12.84,,,,,101.3,,,,,46.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.299999999999997,1.093073593073593,7.762992e-05,5.9342965e-05,0.00055333215,0.0023153718,NO SIGNIFICANT RISK,LOW,,,,,,False
2022-09-24 02:00:00+00:00,5.52,0.036,7.39,12.78,101.4,46.8,15,False,2022-09-24 02:00:00+00:00,2,5,9,267,0.49999999999999994,0.8660254037844387,-1.0,-1.8369701987210297e-16,5.42,,,,,0.037,,,,,7.4,,,,,12.8,,,,,101.3,,,,,50.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.700000000000003,0.9267326732673267,4.760618e-05,6.0698847e-05,0.0005092065,0.0023153718,NO SIGNIFICANT RISK,LOW,,,,,,False
2022-09-24 03:00:00+00:00,5.53,0.036,7.37,12.77,101.4,46.9,15,False,2022-09-24 03:00:00+00:00,3,5,9,267,0.7071067811865476,0.7071067811865476,-1.0,-1.8369701987210297e-16,5.52,5.3,,,,0.036,0.037,,,,7.39,7.39,,,,12.78,12.84,,,,101.4,101.3,,,,46.8,46.2,,,,0.23000000000000043,,,,-0.0010000000000000009,,,,-0.019999999999999574,,,,-0.07000000000000028,,,,0.10000000000000853,,,,0.6999999999999957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10000000000000142,1.0021367521367521,5.1046336e-05,5.586585e-05,0.0006414717,0.003455851,NO SIGNIFICANT RISK,LOW,,,,,,False
2022-09-24 04:00:00+00:00,5.55,0.035,7.35,12.78,101.5,42.2,15,False,2022-09-24 04:00:00+00:00,4,5,9,267,0.8660254037844386,0.5000000000000001,-1.0,-1.8369701987210297e-16,5.53,5.42,,,,0.036,0.037,,,,7.37,7.4,,,,12.77,12.8,,,,101.4,101.3,,,,46.9,50.5,,,,0.1299999999999999,,,,-0.001999999999999995,,,,-0.05000000000000071,,,,-0.02000000000000135,,,,0.20000000000000284,,,,-8.299999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.699999999999996,0.8997867803837954,5.536894e-05,4.4728524e-05,0.0012893497,0.003391538,NO SIGNIFICANT RISK,LOW,,,,,,False
2022-09-24 05:00:00+00:00,5.57,0.035,7.36,12.79,101.6,50.2,15,False,2022-09-24 05:00:00+00:00,5,5,9,267,0.9659258262890683,0.25881904510252074,-1.0,-1.8369701987210297e-16,5.55,5.52,,,,0.035,0.036,,,,7.35,7.39,,,,12.78,12.78,,,,101.5,101.4,,,,42.2,46.8,,,,0.05000000000000071,,,,-0.000999999999999994,,,,-0.02999999999999936,,,,0.009999999999999787,,,,0.19999999999998863,,,,3.4000000000000057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.1895734597156398,6.278296e-05,6.600744e-05,0.0010443511,0.0041992897,NO SIGNIFICANT RISK,LOW,,,,,,False
2022-09-24 06:00:00+00:00,5.57,0.034,7.34,12.8,101.7,39.7,15,False,2022-09-24 06:00:00+00:00,6,5,9,267,1.0,6.123233995736766e-17,-1.0,-1.8369701987210297e-16,5.57,5.53,5.3,,,0.035,0.036,0.037,,,7.36,7.37,7.39,,,12.79,12.77,12.84,,,101.6,101.4,101.3,,,50.2,46.9,46.2,,,0.040000000000000036,0.27000000000000046,,,-0.001999999999999995,-0.0029999999999999957,,,-0.03000000000000025,-0.04999999999999982,,,0.030000000000001137,-0.03999999999999915,,,0.29999999999999716,0.4000000000000057,,,-7.199999999999996,-6.5,,,5.4816666666666665,5.57,0.10303721010715848,,,,,,,0.036,0.037,0.0008944271909999129,,,,,,,7.376666666666666,7.4,0.019663841605002997,,,,,,,12.793333333333331,12.84,0.025033311140691492,,,,,,,101.41666666666667,101.6,0.11690451944500538,,,,,,,47.13333333333333,50.5,3.0368843683398064,,,,,,,-10.5,0.7908366533864541,3.6218804e-05,8.630265e-05,0.003386597,0.008895399,NO SIGNIFICANT RISK,LOW,-6.5,-0.04999999999999982,-0.03999999999999915,-0.0029999999999999957,0.27000000000000046,False
2022-09-24 07:00:00+00:00,5.56,0.034,7.33,12.82,101.8,45.9,15,False,2022-09-24 07:00:00+00:00,7,5,9,267,0.9659258262890683,-0.25881904510252063,-1.0,-1.8369701987210297e-16,5.57,5.55,5.42,,,0.034,0.035,0.037,,,7.34,7.35,7.4,,,12.8,12.78,12.8,,,101.7,101.5,101.3,,,39.7,42.2,50.5,,,0.009999999999999787,0.13999999999999968,,,-0.0010000000000000009,-0.0029999999999999957,,,-0.019999999999999574,-0.07000000000000028,,,0.040000000000000924,0.019999999999999574,,,0.29999999999999716,0.5,,,3.6999999999999957,-4.600000000000001,,,5.526666666666666,5.57,0.05609515724790094,,,,,,,0.0355,0.037,0.0010488088481701474,,,,,,,7.368333333333333,7.4,0.023166067138524933,,,,,,,12.786666666666667,12.8,0.012110601416390082,,,,,,,101.48333333333333,101.7,0.14719601443880817,,,,,,,46.050000000000004,50.5,4.323308917946994,,,,,,,6.199999999999996,1.1561712846347605,5.8368863e-05,0.00016967863,0.0046876944,0.010376527,NO SIGNIFICANT RISK,LOW,-4.600000000000001,-0.07000000000000028,0.019999999999999574,-0.0029999999999999957,0.13999999999999968,False
2022-09-24 08:00:00+00:00,5.54,0.034,7.33,12.83,101.9,40.6,15,False,2022-09-24 08:00:00+00:00,8,5,9,267,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210297e-16,5.56,5.57,5.52,,,0.034,0.035,0.036,,,7.33,7.36,7.39,,,12.82,12.79,12.78,,,101.8,101.6,101.4,,,45.9,50.2,46.8,,,-0.03000000000000025,0.020000000000000462,,,-0.0010000000000000009,-0.001999999999999995,,,-0.03000000000000025,-0.05999999999999961,,,0.040000000000000924,0.05000000000000071,,,0.30000000000001137,0.5,,,-9.600000000000001,-6.199999999999996,,,5.55,5.57,0.02097617696340466,,,,,,,0.034999999999999996,0.036,0.0008944271909999086,,,,,,,7.3566666666666665,7.39,0.021602468994692196,,,,,,,12.79,12.82,0.01788854381999853,,,,,,,101.56666666666668,101.8,0.1632993161855628,,,,,,,45.28333333333334,50.2,3.745619663909655,,,,,,,-5.299999999999997,0.8845315904139434,4.395002e-05,0.00014573857,0.0021909433,0.008430406,NO SIGNIFICANT RISK,LOW,-6.199999999999996,-0.05999999999999961,0.05000000000000071,-0.001999999999999995,0.020000000000000462,False
2022-09-24 09:00:00+00:00,5.54,0.034,7.33,12.84,102.0,41.7,15,False,2022-09-24 09:00:00+00:00,9,5,9,267,0.7071067811865476,-0.7071067811865475,-1.0,-1.8369701987210297e-16,5.54,5.57,5.53,,,0.034,0.034,0.036,,,7.33,7.34,7.37,,,12.83,12.8,12.77,,,101.9,101.7,101.4,,,40.6,39.7,46.9,,,-0.03000000000000025,0.009999999999999787,,,0.0,-0.001999999999999995,,,-0.009999999999999787,-0.040000000000000036,,,0.03999999999999915,0.07000000000000028,,,0.29999999999999716,0.5999999999999943,,,2.0,-5.199999999999996,,,5.553333333333334,5.57,0.016329931618556504,,,,,,,0.03466666666666667,0.036,0.0008164965809277173,,,,,,,7.346666666666667,7.37,0.016329931618553603,,,,,,,12.798333333333332,12.83,0.023166067138525537,,,,,,,101.64999999999999,101.9,0.1870828693387252,,,,,,,44.25,50.2,4.083503397819086,,,,,,,1.1000000000000014,1.0270935960591134,3.128113e-05,0.00015006546,0.0023807283,0.0068794563,NO SIGNIFICANT RISK,LOW,-5.199999999999996,-0.040000000000000036,0.07000000000000028,-0.001999999999999995,0.009999999999999787,False
