horizon,warning_window_hours,event_id,segment_id,event_start,event_end,event_duration_hours,maximum_turbidity,threshold,first_warning_time,lead_time_hours,detected
1h,24,32,16,2023-07-03 07:00:00+00:00,2023-07-03 17:00:00+00:00,11.0,407.9,0.25,2023-07-02 12:00:00+00:00,19.0,1
1h,24,33,16,2023-07-04 07:00:00+00:00,2023-07-05 09:00:00+00:00,27.0,537.8,0.25,2023-07-03 10:00:00+00:00,21.0,1
1h,24,34,16,2023-07-05 12:00:00+00:00,2023-07-05 18:00:00+00:00,7.0,500.0,0.25,2023-07-04 12:00:00+00:00,24.0,1
1h,24,35,16,2023-07-06 19:00:00+00:00,2023-07-07 06:00:00+00:00,12.0,449.7,0.25,,,0
1h,24,36,16,2023-07-11 19:00:00+00:00,2023-07-12 08:00:00+00:00,14.0,384.7,0.25,,,0
1h,24,37,16,2023-07-12 11:00:00+00:00,2023-07-13 05:00:00+00:00,19.0,441.0,0.25,2023-07-11 19:00:00+00:00,16.0,1
1h,24,38,16,2023-07-13 08:00:00+00:00,2023-07-14 06:00:00+00:00,23.0,504.2,0.25,2023-07-12 18:00:00+00:00,14.0,1
1h,24,39,16,2023-07-14 19:00:00+00:00,2023-07-15 06:00:00+00:00,12.0,567.4,0.25,2023-07-13 19:00:00+00:00,24.0,1
1h,24,40,16,2023-07-16 03:00:00+00:00,2023-07-16 12:00:00+00:00,10.0,438.6,0.25,2023-07-15 04:00:00+00:00,23.0,1
1h,24,41,16,2023-07-16 15:00:00+00:00,2023-07-17 09:00:00+00:00,19.0,402.6,0.25,,,0
1h,24,42,16,2023-07-18 03:00:00+00:00,2023-07-18 19:00:00+00:00,17.0,395.5,0.25,,,0
1h,24,43,17,2023-08-13 06:00:00+00:00,2023-08-13 09:00:00+00:00,4.0,417.6,0.25,,,0
1h,48,32,16,2023-07-03 07:00:00+00:00,2023-07-03 17:00:00+00:00,11.0,407.9,0.25,2023-07-02 12:00:00+00:00,19.0,1
1h,48,33,16,2023-07-04 07:00:00+00:00,2023-07-05 09:00:00+00:00,27.0,537.8,0.25,2023-07-02 12:00:00+00:00,43.0,1
1h,48,34,16,2023-07-05 12:00:00+00:00,2023-07-05 18:00:00+00:00,7.0,500.0,0.25,2023-07-03 17:00:00+00:00,43.0,1
