horizon,threshold,warning_window_hours,test_events,detected_events,missed_events,detection_rate,mean_lead_time_hours,median_lead_time_hours,minimum_lead_time_hours,maximum_lead_time_hours,total_test_warnings
1h,0.25,24,12,7,5,0.5833333333333334,20.142857142857142,21.0,14.0,24.0,110
1h,0.25,48,12,9,3,0.75,38.333333333333336,43.0,16.0,48.0,110
1h,0.25,72,12,10,2,0.8333333333333334,54.3,71.0,16.0,72.0,110
6h,0.2,24,12,11,1,0.9166666666666666,18.545454545454547,20.0,4.0,24.0,222
6h,0.2,48,12,11,1,0.9166666666666666,35.36363636363637,42.0,4.0,48.0,222
6h,0.2,72,12,11,1,0.9166666666666666,53.09090909090909,70.0,4.0,72.0,222
12h,0.15,24,12,11,1,0.9166666666666666,21.272727272727273,23.0,7.0,24.0,457
12h,0.15,48,12,12,0,1.0,39.416666666666664,45.0,7.0,48.0,457
12h,0.15,72,12,12,0,1.0,58.166666666666664,68.0,7.0,72.0,457
24h,0.15,24,12,11,1,0.9166666666666666,21.818181818181817,24.0,11.0,24.0,791
24h,0.15,48,12,12,0,1.0,40.083333333333336,47.5,11.0,48.0,791
24h,0.15,72,12,12,0,1.0,61.75,71.5,11.0,72.0,791
