horizon,threshold,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives,predicted_risk_events
1h,0.1,0.49171270718232046,0.956989247311828,0.6496350364963503,9023,92,4,89,181
1h,0.15,0.5370370370370371,0.9354838709677419,0.6823529411764706,9040,75,6,87,162
1h,0.2,0.5657894736842105,0.9247311827956989,0.7020408163265306,9049,66,7,86,152
1h,0.25,0.5944055944055944,0.9139784946236559,0.7203389830508474,9057,58,8,85,143
1h,0.3,0.6268656716417911,0.9032258064516129,0.7400881057268722,9065,50,9,84,134
1h,0.35,0.6434108527131783,0.8924731182795699,0.7477477477477478,9069,46,10,83,129
1h,0.4,0.6535433070866141,0.8924731182795699,0.7545454545454545,9071,44,10,83,127
1h,0.45,0.6693548387096774,0.8924731182795699,0.7649769585253456,9074,41,10,83,124
1h,0.5,0.6810344827586207,0.8494623655913979,0.7559808612440191,9078,37,14,79,116
1h,0.55,0.6869565217391305,0.8494623655913979,0.7596153846153846,9079,36,14,79,115
1h,0.6,0.7090909090909091,0.8387096774193549,0.7684729064039408,9083,32,15,78,110
1h,0.65,0.7289719626168224,0.8387096774193549,0.78,9086,29,15,78,107
1h,0.7,0.7425742574257426,0.8064516129032258,0.7731958762886598,9089,26,18,75,101
1h,0.75,0.7604166666666666,0.7849462365591398,0.7724867724867724,9092,23,20,73,96
1h,0.8,0.8068181818181818,0.7634408602150538,0.7845303867403315,9098,17,22,71,88
1h,0.85,0.8235294117647058,0.7526881720430108,0.7865168539325843,9100,15,23,70,85
1h,0.9,0.825,0.7096774193548387,0.7630057803468208,9101,14,27,66,80
6h,0.1,0.47703180212014135,0.8653846153846154,0.6150341685649203,8804,148,21,135,283
6h,0.15,0.49433962264150944,0.8397435897435898,0.6223277909738717,8818,134,25,131,265
6h,0.2,0.5138339920948617,0.8333333333333334,0.6356968215158925,8829,123,26,130,253
6h,0.25,0.5485232067510548,0.8333333333333334,0.6615776081424937,8845,107,26,130,237
6h,0.3,0.5584415584415584,0.8269230769230769,0.6666666666666666,8850,102,27,129,231
6h,0.35,0.581081081081081,0.8269230769230769,0.6825396825396826,8859,93,27,129,222
6h,0.4,0.6066350710900474,0.8205128205128205,0.6975476839237057,8869,83,28,128,211
6h,0.45,0.6287128712871287,0.8141025641025641,0.7094972067039106,8877,75,29,127,202
6h,0.5,0.6479591836734694,0.8141025641025641,0.7215909090909091,8883,69,29,127,196
6h,0.55,0.6649214659685864,0.8141025641025641,0.7319884726224783,8888,64,29,127,191
6h,0.6,0.675531914893617,0.8141025641025641,0.7383720930232558,8891,61,29,127,188
6h,0.65,0.6983240223463687,0.8012820512820513,0.746268656716418,8898,54,31,125,179
6h,0.7,0.7218934911242604,0.782051282051282,0.7507692307692307,8905,47,34,122,169
6h,0.75,0.7378048780487805,0.7756410256410257,0.75625,8909,43,35,121,164
6h,0.8,0.7532467532467533,0.7435897435897436,0.7483870967741936,8914,38,40,116,154
6h,0.85,0.7730496453900709,0.6987179487179487,0.734006734006734,8920,32,47,109,141
6h,0.9,0.8125,0.6666666666666666,0.7323943661971831,8928,24,52,104,128
12h,0.1,0.28716216216216217,0.794392523364486,0.4218362282878412,8358,422,44,170,592
12h,0.15,0.336,0.7850467289719626,0.47058823529411764,8448,332,46,168,500
12h,0.2,0.36936936936936937,0.7663551401869159,0.49848024316109424,8500,280,50,164,444
12h,0.25,0.40966921119592875,0.7523364485981309,0.5304777594728172,8548,232,53,161,393
12h,0.3,0.431266846361186,0.7476635514018691,0.5470085470085471,8569,211,54,160,371
12h,0.35,0.4608695652173913,0.7429906542056075,0.5688729874776386,8594,186,55,159,345
12h,0.4,0.48598130841121495,0.7289719626168224,0.5831775700934579,8615,165,58,156,321
12h,0.45,0.5016501650165016,0.7102803738317757,0.5880077369439072,8629,151,62,152,303
12h,0.5,0.5321428571428571,0.6962616822429907,0.6032388663967612,8649,131,65,149,280
12h,0.55,0.5488721804511278,0.6822429906542056,0.6083333333333333,8660,120,68,146,266
12h,0.6,0.5595238095238095,0.6588785046728972,0.6051502145922747,8669,111,73,141,252
12h,0.65,0.5684647302904564,0.6401869158878505,0.6021978021978022,8676,104,77,137,241
12h,0.7,0.5990990990990991,0.6214953271028038,0.6100917431192661,8691,89,81,133,222
12h,0.75,0.6386138613861386,0.602803738317757,0.6201923076923077,8707,73,85,129,202
12h,0.8,0.6844919786096256,0.5981308411214953,0.6384039900249376,8721,59,86,128,187
12h,0.85,0.7435897435897436,0.5420560747663551,0.6270270270270271,8740,40,98,116,156
12h,0.9,0.8384615384615385,0.5093457943925234,0.6337209302325582,8759,21,105,109,130
24h,0.1,0.17127496159754224,0.7101910828025477,0.275990099009901,7373,1079,91,223,1302
24h,0.15,0.20956937799043063,0.697452229299363,0.32229580573951433,7626,826,95,219,1045
24h,0.2,0.24284077892325315,0.6751592356687898,0.35720303285593935,7791,661,102,212,873
24h,0.25,0.2699468085106383,0.6464968152866242,0.3808630393996248,7903,549,111,203,752
24h,0.3,0.29848484848484846,0.6273885350318471,0.40451745379876797,7989,463,117,197,660
24h,0.35,0.3220338983050847,0.6050955414012739,0.42035398230088494,8052,400,124,190,590
24h,0.4,0.34750462107208874,0.5987261146496815,0.439766081871345,8099,353,126,188,541
24h,0.45,0.37731958762886597,0.5828025477707006,0.45807259073842305,8150,302,131,183,485
24h,0.5,0.40582959641255606,0.5764331210191083,0.4763157894736842,8187,265,133,181,446
24h,0.55,0.42995169082125606,0.5668789808917197,0.489010989010989,8216,236,136,178,414
24h,0.6,0.4673913043478261,0.5477707006369427,0.5043988269794721,8256,196,142,172,368
24h,0.65,0.5030120481927711,0.5318471337579618,0.5170278637770898,8287,165,147,167,332
24h,0.7,0.535593220338983,0.5031847133757962,0.5188834154351396,8315,137,156,158,295
24h,0.75,0.5813953488372093,0.47770700636942676,0.5244755244755245,8344,108,164,150,258
24h,0.8,0.6633165829145728,0.42038216560509556,0.5146198830409356,8385,67,182,132,199
24h,0.85,0.689873417721519,0.3471337579617834,0.461864406779661,8403,49,205,109,158
24h,0.9,0.7457627118644068,0.2802547770700637,0.4074074074074074,8422,30,226,88,118
