timestamp_utc,water_temperature,sp_conductance,ph,do_concentration,do_saturation,turbidity
2013-09-08 05:00:51+00:00,6.19,0.017,7.22,13.1,105.2,100.9
2013-09-08 06:00:51+00:00,6.12,0.017,7.22,13.11,105.2,105.9
2013-09-08 07:00:51+00:00,6.09,0.016,7.23,13.12,105.1,113.7
2013-09-08 08:00:51+00:00,6.12,0.016,7.21,13.11,105.1,125.4
2013-09-08 09:00:51+00:00,6.15,0.017,7.26,13.1,105.1,613.4
2013-09-08 10:00:51+00:00,6.14,0.017,7.22,13.08,105.0,391.4
2013-09-08 11:00:52+00:00,6.06,0.018,7.27,13.09,104.9,835.6
2013-09-08 12:00:51+00:00,6.08,0.019,7.29,13.08,104.8,799.3
2013-09-08 13:00:51+00:00,6.19,0.021,7.32,13.03,104.7,904.9
2013-09-08 14:00:51+00:00,6.23,0.023,7.41,12.98,104.4,1063.5
2013-09-08 15:00:51+00:00,6.26,0.026,7.47,12.95,104.2,1226.1
2013-09-08 16:00:52+00:00,6.02,0.033,7.81,13.01,104.1,1281.8
2013-09-08 17:00:51+00:00,5.68,0.035,7.86,13.14,104.3,1278.3
2013-09-08 18:00:51+00:00,5.46,0.034,7.81,13.24,104.6,1275.8
2013-09-08 19:00:51+00:00,5.42,0.033,7.73,13.28,104.8,1264.1
2013-09-08 20:00:52+00:00,5.39,0.031,7.66,13.3,104.9,1146.1
2013-09-08 21:00:51+00:00,5.36,0.029,7.59,13.34,105.1,1230.1
2013-09-08 22:00:51+00:00,5.35,0.027,7.52,13.36,105.3,724.9
2013-09-08 23:00:51+00:00,5.4,0.026,7.48,13.35,105.3,829.1
2013-09-09 00:00:51+00:00,5.37,0.026,7.47,13.39,105.6,735.5
2013-09-09 01:00:51+00:00,5.39,0.024,7.45,13.41,105.7,893.0
2013-09-09 02:00:51+00:00,5.34,0.024,7.45,13.43,105.7,444.8
2013-09-09 03:00:51+00:00,5.31,0.024,7.41,13.42,105.6,479.9
2013-09-09 04:00:51+00:00,5.28,0.024,7.41,13.43,105.6,428.5
