horizon,fold,threshold,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives,predicted_positive,actual_positive
12h,1,0.1,0.3939393939393939,0.05138339920948617,0.09090909090909091,5921,20,240,13,33,253
12h,2,0.1,0.4690265486725664,0.3333333333333333,0.3897058823529412,5975,60,106,53,113,159
12h,3,0.2,0.488,0.38125,0.4280701754385965,5970,64,99,61,125,160
12h,4,0.35,0.4644808743169399,0.5029585798816568,0.48295454545454547,5927,98,84,85,183,169
1h,1,0.1,0.0,0.0,0.0,6195,0,112,0,0,112
1h,2,0.15,0.5660377358490566,0.6666666666666666,0.6122448979591837,6239,23,15,30,53,45
1h,3,0.35,0.7164179104477612,0.7868852459016393,0.75,6227,19,13,48,67,61
1h,4,0.45,0.5454545454545454,0.7741935483870968,0.64,6205,40,14,48,88,62
24h,1,0.8,0.25,0.002976190476190476,0.0058823529411764705,5737,3,335,1,4,336
24h,2,0.1,0.48095238095238096,0.3782771535580524,0.42348008385744235,5700,109,166,101,210,267
24h,3,0.15,0.3386243386243386,0.27586206896551724,0.30403800475059384,5719,125,168,64,189,232
24h,4,0.2,0.3832599118942731,0.3522267206477733,0.3670886075949367,5689,140,160,87,227,247
6h,1,0.1,0.0,0.0,0.0,6052,0,203,0,0,203
6h,2,0.2,0.6031746031746031,0.3619047619047619,0.4523809523809524,6125,25,67,38,63,105
6h,3,0.5,0.6666666666666666,0.4827586206896552,0.56,6111,28,60,56,84,116
6h,4,0.3,0.58,0.7131147540983607,0.6397058823529411,6070,63,35,87,150,122
