horizon,threshold,mean_precision,mean_recall,mean_f1,std_f1,mean_false_positives,mean_false_negatives,mean_predicted_positive
12h,0.1,0.3984148486045064,0.3531503369818587,0.3296306734643273,0.16023056066225272,96.75,126.25,155.75
12h,0.15,0.4269489944018246,0.3288442452984638,0.33045661275262794,0.1750429057591546,77.0,130.5,131.75
12h,0.2,0.4528553034947885,0.3063381910376807,0.3242885153068199,0.17879343922106655,64.75,134.25,115.75
12h,0.25,0.4747008547008547,0.28629956901021614,0.31493225910052625,0.1785779605273597,56.75,137.5,104.5
12h,0.3,0.48980131875170474,0.2761860568952408,0.3132069025298643,0.1809186250372104,51.0,139.25,97.0
12h,0.35,0.536794730634344,0.2730610568952408,0.3173453249707907,0.18415552077376338,45.25,139.75,90.75
12h,0.4,0.5569439149404838,0.2621159955620934,0.3142543514378422,0.18993918563159923,39.75,141.75,83.25
12h,0.45,0.5816450141840599,0.25486802622557814,0.3121368077191514,0.19484492384239108,35.25,143.0,77.5
12h,0.5,0.6531860551630712,0.2426812123742142,0.3071570884070884,0.19228795073809596,30.25,145.0,70.5
12h,0.55,0.6726890756302522,0.2336390526109006,0.30432924299423597,0.18851216116557,26.75,146.5,65.5
12h,0.6,0.6878867586314394,0.226159392847587,0.3019316481336179,0.18541176395441727,24.0,147.75,61.5
12h,0.65,0.709733893557423,0.21876294314344497,0.299526360688808,0.18101498659931442,21.25,149.0,57.5
12h,0.7,0.7279992942836979,0.2111902462769346,0.29584900700008615,0.17866278675138905,18.5,150.25,53.5
12h,0.75,0.7730286032172824,0.19292967958793905,0.2785160991568824,0.16474803454087913,16.5,153.25,48.5
12h,0.8,0.7788180325555741,0.18084572988379702,0.2684233680119428,0.15640171635158884,14.25,155.25,44.25
12h,0.85,0.8031161326935975,0.15970979337231625,0.24816753390544186,0.1403319431066508,11.0,158.75,37.5
12h,0.9,0.812797619047619,0.14622976378651742,0.23429613610008856,0.13046263874131342,8.75,161.0,33.0
1h,0.1,0.3719103107344633,0.593358893001939,0.4545653391194792,0.3040349018467525,35.0,36.25,68.75
1h,0.15,0.3979706165849512,0.581196016217169,0.46891932611970966,0.3134673825652436,30.5,37.0,63.5
1h,0.2,0.42620889748549323,0.557922028321288,0.4787815673001823,0.3217480866931854,25.5,38.25,57.25
1h,0.25,0.4438517468447046,0.5523664727657325,0.4861981858550519,0.32891567264758426,23.5,38.5,55.0
1h,0.3,0.4488675958188153,0.5372231035901052,0.48287593173385235,0.3283367209946775,22.0,39.25,52.75
1h,0.35,0.46199921445404557,0.5261119924789941,0.4852898856572788,0.3333302742236848,19.75,39.75,50.0
1h,0.4,0.46950796950796947,0.5139491156942241,0.48464657578906617,0.33197377099761743,18.5,40.5,48.0
1h,0.45,0.48456902021209103,0.49609847817145547,0.48257383966244727,0.32968390543880893,16.75,41.5,45.25
1h,0.5,0.48660244953742643,0.4743477877666138,0.4732859052711994,0.3237421652482204,15.75,42.75,43.0
1h,0.55,0.4923263299377476,0.46628327163758154,0.47176973527157595,0.32305646407561805,15.25,43.25,42.0
1h,0.6,0.49522384926258334,0.43897702567718433,0.4591352221787004,0.3189443378924071,13.75,44.75,39.0
1h,0.65,0.4895849586518958,0.40652065338739063,0.4402807968260724,0.3039302392814533,13.0,46.75,36.25
1h,0.7,0.5123018753781005,0.40652065338739063,0.45111287758346585,0.31064270199368443,10.75,46.75,34.0
1h,0.75,0.5269982993197279,0.3888022210470651,0.44624824648703,0.30894697717099917,9.0,47.75,31.25
1h,0.8,0.5334481104601363,0.37921440742699336,0.44212962962962965,0.30953958980862767,8.25,48.25,30.0
1h,0.85,0.5454036959748725,0.3640710382513661,0.43383909119203234,0.30856241083502167,7.25,49.0,28.25
1h,0.9,0.5734915147705846,0.3382219871907868,0.4221833721833722,0.3010338974732484,5.5,50.5,25.0
24h,0.1,0.27034464389824076,0.27404867734598914,0.2657344799181939,0.18122203437454554,144.5,202.0,213.0
24h,0.15,0.30981548465477005,0.24443928024655864,0.2659425662572577,0.17814040190530642,105.25,209.5,166.25
24h,0.2,0.33706307602935864,0.219511531087203,0.25860585257639634,0.17382122366463074,82.5,215.75,137.25
24h,0.25,0.36385230493305976,0.2053622420075014,0.2565245603474748,0.17112624156500708,67.25,219.25,118.5
24h,0.3,0.37610679967059224,0.1926696199395607,0.248799628547071,0.16421542398079844,59.75,222.5,107.75
24h,0.35,0.39618969298245615,0.1833089220700994,0.24537811775876917,0.1626916969209175,51.5,224.75,97.25
24h,0.4,0.4075779722529343,0.1693870814733164,0.23422552425585869,0.15393504783559095,45.5,228.25,87.75
24h,0.45,0.42556936683933805,0.16528343372252047,0.23356497378421462,0.1536506724294821,40.25,229.25,81.5
24h,0.5,0.4378781712115045,0.15532398425765184,0.22514872784309967,0.14712697819702225,36.25,231.75,75.0
24h,0.55,0.44840370156159626,0.1483905963366826,0.21936753343896917,0.14311635468921957,32.75,233.5,69.75
24h,0.6,0.4622471562375914,0.13669974431466558,0.2079871388012955,0.13569664585051128,28.25,236.5,62.25
24h,0.65,0.46928023526860735,0.12862332972889112,0.19973772466432296,0.13052505021202684,25.25,238.5,57.25
24h,0.7,0.49976216950827773,0.1186638802640225,0.18992450046892728,0.1258974466872324,20.0,241.0,49.5
24h,0.75,0.5455694070080862,0.11376515954409315,0.18629511593652076,0.12278898385748056,14.75,242.25,43.0
24h,0.8,0.5894636524822695,0.10353357254452555,0.17335026209065185,0.11420433453779497,11.5,244.75,37.25
24h,0.85,0.6118537015276146,0.09653474416564763,0.16434485616109656,0.11016933326862267,9.25,246.5,33.25
24h,0.9,0.6429446460980036,0.08464757076990452,0.1476901737173843,0.09954149050971414,6.75,249.5,27.75
6h,0.1,0.3765722322684348,0.43700570674849926,0.3968107721817081,0.27285309118211626,50.75,85.75,101.5
6h,0.15,0.3979161806257615,0.4175815634337398,0.39875835153795863,0.2741371976698669,43.75,88.0,92.25
6h,0.2,0.4229597562930896,0.41304543863899434,0.4072653218891407,0.28014629371248845,38.5,88.5,86.5
6h,0.25,0.42740871020965077,0.39728189184096474,0.40092326145543233,0.2805575564411186,35.5,90.25,81.75
6h,0.3,0.4461800699300699,0.3906965867183504,0.4048128342245989,0.28394574250618687,31.75,91.0,77.25
6h,0.35,0.45294298257074916,0.3802387009071576,0.40319137638062874,0.2824739250780693,29.5,92.25,73.75
6h,0.4,0.45729081214109923,0.3673998627150125,0.397218841285297,0.2780726533464649,28.0,93.75,70.75
6h,0.45,0.4753097351401512,0.36081455759239817,0.39875996528224256,0.2797130719881057,25.25,94.5,67.25
