horizon,fold,threshold,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives,predicted_positive,actual_positive
1h,1,0.1,0.0,0.0,0.0,6195,0,112,0,0,112
1h,1,0.15,0.0,0.0,0.0,6195,0,112,0,0,112
1h,1,0.2,0.0,0.0,0.0,6195,0,112,0,0,112
1h,1,0.25,0.0,0.0,0.0,6195,0,112,0,0,112
1h,1,0.3,0.0,0.0,0.0,6195,0,112,0,0,112
1h,1,0.35,0.0,0.0,0.0,6195,0,112,0,0,112
1h,1,0.4,0.0,0.0,0.0,6195,0,112,0,0,112
1h,1,0.45,0.0,0.0,0.0,6195,0,112,0,0,112
1h,1,0.5,0.0,0.0,0.0,6195,0,112,0,0,112
1h,1,0.55,0.0,0.0,0.0,6195,0,112,0,0,112
1h,1,0.6,0.0,0.0,0.0,6195,0,112,0,0,112
1h,1,0.65,0.0,0.0,0.0,6195,0,112,0,0,112
1h,1,0.7,0.0,0.0,0.0,6195,0,112,0,0,112
1h,1,0.75,0.0,0.0,0.0,6195,0,112,0,0,112
1h,1,0.8,0.0,0.0,0.0,6195,0,112,0,0,112
1h,1,0.85,0.0,0.0,0.0,6195,0,112,0,0,112
1h,1,0.9,0.0,0.0,0.0,6195,0,112,0,0,112
1h,2,0.1,0.5084745762711864,0.6666666666666666,0.5769230769230769,6233,29,15,30,59,45
1h,2,0.15,0.5660377358490566,0.6666666666666666,0.6122448979591837,6239,23,15,30,53,45
1h,2,0.2,0.5957446808510638,0.6222222222222222,0.6086956521739131,6243,19,17,28,47,45
1h,2,0.25,0.6136363636363636,0.6,0.6067415730337079,6245,17,18,27,44,45
1h,2,0.3,0.6097560975609756,0.5555555555555556,0.5813953488372093,6246,16,20,25,41,45
1h,2,0.35,0.6052631578947368,0.5111111111111111,0.5542168674698795,6247,15,22,23,38,45
1h,2,0.4,0.6216216216216216,0.5111111111111111,0.5609756097560976,6248,14,22,23,37,45
1h,2,0.45,0.6470588235294118,0.4888888888888889,0.5569620253164557,6250,12,23,22,34,45
1h,2,0.5,0.65625,0.4666666666666667,0.5454545454545454,6251,11,24,21,32,45
1h,2,0.55,0.6774193548387096,0.4666666666666667,0.5526315789473685,6252,10,24,21,31,45
1h,2,0.6,0.6551724137931034,0.4222222222222222,0.5135135135135135,6252,10,26,19,29,45
1h,2,0.65,0.6551724137931034,0.4222222222222222,0.5135135135135135,6252,10,26,19,29,45
1h,2,0.7,0.6551724137931034,0.4222222222222222,0.5135135135135135,6252,10,26,19,29,45
1h,2,0.75,0.6428571428571429,0.4,0.4931506849315068,6252,10,27,18,28,45
1h,2,0.8,0.6296296296296297,0.37777777777777777,0.4722222222222222,6252,10,28,17,27,45
1h,2,0.85,0.6521739130434783,0.3333333333333333,0.4411764705882353,6254,8,30,15,23,45
1h,2,0.9,0.7,0.3111111111111111,0.4307692307692308,6256,6,31,14,20,45
1h,3,0.1,0.5208333333333334,0.819672131147541,0.6369426751592356,6200,46,11,50,96,61
1h,3,0.15,0.5568181818181818,0.8032786885245902,0.6577181208053692,6207,39,12,49,88,61
1h,3,0.2,0.6233766233766234,0.7868852459016393,0.6956521739130435,6217,29,13,48,77,61
1h,3,0.25,0.676056338028169,0.7868852459016393,0.7272727272727273,6223,23,13,48,71,61
1h,3,0.3,0.6857142857142857,0.7868852459016393,0.732824427480916,6224,22,13,48,70,61
1h,3,0.35,0.7164179104477612,0.7868852459016393,0.75,6227,19,13,48,67,61
