,water_temperature,sp_conductance,ph,do_concentration,do_saturation,turbidity
count,61551.0,60655.0,61538.0,58265.0,58263.0,60495.0
mean,5.132409059154198,0.04279360316544391,7.355577366830252,12.768360078949627,100.46643839143196,44.09185221919167
std,1.5627487103943791,0.018585120009271656,0.19593394863501545,0.5380975854726997,3.608817791373952,66.45187655694616
min,-0.12,0.0,5.7,10.19,0.0,0.0
1%,0.125,0.016,6.9,11.63,91.4,0.3
5%,2.08,0.022,7.05,11.95,94.1,2.4
25%,4.43,0.028,7.23,12.41,98.1,14.7
50%,5.36,0.038,7.36,12.72,100.6,31.0
75%,6.04,0.056,7.5,13.09,103.2,50.7
95%,7.42,0.074,7.63,13.7,105.8,120.0
99%,8.43,0.087,7.71,14.34,107.1,319.80599999999976
max,14.7,1.452,9.06,15.74,111.6,1302.6
