feature,gain,horizon,gain_percentage,rank
turbidity,913.2310180664062,12h,9.546133048651031,1
turbidity_change_24h,902.2750854492188,12h,9.431609134803722,2
turbidity_rolling_std_6h,451.19769287109375,12h,4.716433325393952,3
turbidity_change_6h,334.4466857910156,12h,3.496018528806984,4
turbidity_change_3h,225.23753356933594,12h,2.354439808182834,5
turbidity_rolling_mean_24h,166.7690887451172,12h,1.7432608814951753,6
f125,139.9013671875,12h,1.4624087864292665,7
sp_conductance_change_6h,138.4241485595703,12h,1.4469672110937941,8
do_saturation_lag_1h,131.71490478515625,12h,1.3768345366014203,9
water_temperature_rolling_max_6h,130.14527893066406,12h,1.3604270154516127,10
sp_conductance_change_12h,129.8168182373047,12h,1.3569935693486763,11
sp_conductance_change_24h,129.169189453125,12h,1.3502238140319927,12
sp_conductance_change_3h,103.11796569824219,12h,1.0779066860276896,13
day_of_year,101.59225463867188,12h,1.0619582124428846,14
turbidity_change_12h,97.74490356445312,12h,1.0217413072865904,15
sp_conductance_lag_3h,96.868408203125,12h,1.0125791772557033,16
sp_conductance_lag_1h,90.80725860595703,12h,0.9492211228995869,17
water_temperature_rolling_max_24h,87.1023178100586,12h,0.9104928525327894,18
water_temperature_rolling_std_24h,80.6593246459961,12h,0.8431433333433116,19
do_saturation_rolling_max_24h,80.13443756103516,12h,0.8376566143757882,20
month_cos,79.86261749267578,12h,0.8348152407402912,21
do_concentration_rolling_max_24h,79.41476440429688,12h,0.8301337690388958,22
do_saturation_change_3h,77.76465606689453,12h,0.8128849531074317,23
do_saturation_rolling_mean_12h,77.62773895263672,12h,0.8114537391391307,24
do_saturation,74.82613372802734,12h,0.7821681633156732,25
water_temperature_change_6h,74.37723541259766,12h,0.7774757657080227,26
turbidity_rolling_max_24h,74.23123168945312,12h,0.7759495681313271,27
do_saturation_lag_24h,71.06610107421875,12h,0.7428640099629679,28
water_temperature_rolling_mean_6h,69.47787475585938,12h,0.7262620555325005,29
water_temperature_lag_3h,69.04903411865234,12h,0.7217793236733545,30
ph_change_24h,68.77867889404297,12h,0.718953262256843,31
sp_conductance_lag_24h,68.31642150878906,12h,0.7141212204020903,32
turbidity_rolling_std_12h,67.61827087402344,12h,0.706823353032688,33
month,67.37157440185547,12h,0.7042445999030204,34
do_saturation_rolling_mean_6h,66.95236206054688,12h,0.6998625139832478,35
turbidity_rolling_mean_6h,65.98104858398438,12h,0.6897092367776119,36
do_concentration_rolling_mean_12h,64.99838256835938,12h,0.6794372898748382,37
turbidity_lag_1h,64.86907958984375,12h,0.6780856675448055,38
water_temperature_rolling_mean_24h,64.71453094482422,12h,0.6764701486906946,39
turbidity_rolling_std_24h,63.67522048950195,12h,0.6656060894449113,40
do_concentration_rolling_max_6h,63.200897216796875,12h,0.6606479211613796,41
sp_conductance_lag_12h,63.19730758666992,12h,0.6606103982497511,42
f194,62.9931640625,12h,0.6584764571064982,43
sp_conductance_rolling_mean_6h,62.455074310302734,12h,0.6528517287902539,44
turbidity_rolling_max_12h,61.391170501708984,12h,0.6417305917429094,45
ph_lag_12h,61.0625,12h,0.6382949524836078,46
do_concentration_rolling_mean_24h,60.79364013671875,12h,0.6354845222906439,47
sp_conductance_rolling_std_12h,60.48388671875,12h,0.6322466259843349,48
do_concentration_change_24h,59.169715881347656,12h,0.6185094122735456,49
f167,58.9404296875,12h,0.6161126512466119,50
water_temperature_change_3h,57.53508758544922,12h,0.6014224114062563,51
water_temperature_rolling_std_6h,57.29863357543945,12h,0.5989507241827763,52
ph_rolling_std_24h,56.577125549316406,12h,0.5914086986965817,53
water_temperature_change_24h,56.2980842590332,12h,0.5884918406065547,54
do_saturation_change_24h,56.19658279418945,12h,0.5874308314326843,55
do_concentration_rolling_max_12h,55.91268539428711,12h,0.5844632117416975,56
do_saturation_lag_3h,55.64673614501953,12h,0.5816832066088532,57
water_temperature_rolling_std_12h,54.515296936035156,12h,0.5698561124653646,58
do_saturation_rolling_std_24h,54.38004684448242,12h,0.5684423241212736,59
turbidity_rolling_mean_12h,53.960899353027344,12h,0.5640609160861958,60
turbidity_lag_24h,51.8597297668457,12h,0.5420970930987352,61
