feature,gain,horizon,gain_percentage,rank
turbidity,913.2310180664062,12h,9.546133048651031,1
turbidity_change_24h,902.2750854492188,12h,9.431609134803722,2
turbidity_rolling_std_6h,451.19769287109375,12h,4.716433325393952,3
turbidity_change_6h,334.4466857910156,12h,3.496018528806984,4
turbidity_change_3h,225.23753356933594,12h,2.354439808182834,5
turbidity_rolling_mean_24h,166.7690887451172,12h,1.7432608814951753,6
f125,139.9013671875,12h,1.4624087864292665,7
sp_conductance_change_6h,138.4241485595703,12h,1.4469672110937941,8
do_saturation_lag_1h,131.71490478515625,12h,1.3768345366014203,9
water_temperature_rolling_max_6h,130.14527893066406,12h,1.3604270154516127,10
sp_conductance_change_12h,129.8168182373047,12h,1.3569935693486763,11
sp_conductance_change_24h,129.169189453125,12h,1.3502238140319927,12
sp_conductance_change_3h,103.11796569824219,12h,1.0779066860276896,13
day_of_year,101.59225463867188,12h,1.0619582124428846,14
turbidity_change_12h,97.74490356445312,12h,1.0217413072865904,15
sp_conductance_lag_3h,96.868408203125,12h,1.0125791772557033,16
sp_conductance_lag_1h,90.80725860595703,12h,0.9492211228995869,17
water_temperature_rolling_max_24h,87.1023178100586,12h,0.9104928525327894,18
water_temperature_rolling_std_24h,80.6593246459961,12h,0.8431433333433116,19
do_saturation_rolling_max_24h,80.13443756103516,12h,0.8376566143757882,20
