feature,gain,horizon,gain_percentage,rank
turbidity_change_24h,1099.49462890625,24h,9.3434043148941,1
f128,413.1904296875,24h,3.5112543000374354,2
f148,345.190673828125,24h,2.933398623798017,3
f150,276.40875244140625,24h,2.3488961767868166,4
month_sin,264.81170654296875,24h,2.2503455464892625,5
f218,236.3284454345703,24h,2.008297411149843,6
f137,229.7236328125,24h,1.9521703204577239,7
month_cos,229.4709930419922,24h,1.9500234109050825,8
sp_conductance_change_3h,222.4420623779297,24h,1.8902922040677888,9
sp_conductance_change_24h,203.13706970214844,24h,1.7262401504026197,10
f149,199.00851440429688,24h,1.6911560668881793,11
f191,198.57626342773438,24h,1.6874828378124276,12
f219,191.06710815429688,24h,1.623670726376431,13
turbidity,186.93508911132812,24h,1.5885572082742967,14
turbidity_rolling_mean_24h,153.3057403564453,24h,1.3027780930311221,15
do_saturation_lag_12h,150.82891845703125,24h,1.281730288145317,16
sp_conductance_rolling_max_6h,150.59584045410156,24h,1.2797496126958638,17
sp_conductance_change_6h,145.4339141845703,24h,1.2358840376289975,18
do_saturation_rolling_mean_6h,138.2276153564453,24h,1.1746455724333111,19
f147,131.50425720214844,24h,1.117511092702449,20
turbidity_change_6h,126.48583221435547,24h,1.0748649783402886,21
water_temperature_rolling_max_24h,125.87171936035156,24h,1.0696463037428148,22
ph_change_24h,123.9116439819336,24h,1.0529897633043714,23
do_saturation_rolling_max_24h,112.14266967773438,24h,0.9529781012145615,24
turbidity_lag_1h,111.20796966552734,24h,0.9450351064080527,25
f197,110.07806396484375,24h,0.9354332715999167,26
ph_rolling_mean_24h,109.84552001953125,24h,0.9334571345230155,27
day_of_year,103.99436950683594,24h,0.8837345951761921,28
do_saturation_lag_1h,102.91883087158203,24h,0.8745947666938434,29
f126,102.36163330078125,24h,0.869859752942619,30
sp_conductance_lag_1h,96.54141998291016,24h,0.8204001150343398,31
do_saturation_lag_24h,95.24736022949219,24h,0.8094033141715253,32
ph_rolling_max_6h,93.48129272460938,24h,0.7943954348134139,33
do_concentration_change_24h,92.09233856201172,24h,0.7825922299820135,34
f154,91.9610595703125,24h,0.7814766331748534,35
