feature,12h,24h,rank_12h,rank_24h
day_of_week,0.2161911463266355,0.3396796803613125,123.0,96.0
day_of_year,1.0619582124428846,0.8837345951761921,14.0,28.0
do_concentration,0.1730463574851332,0.1625436282966922,129.0,135.0
do_concentration_change_12h,0.1703791005272408,0.3939924269580069,130.0,88.0
do_concentration_change_24h,0.6185094122735456,0.7825922299820135,49.0,34.0
do_concentration_change_3h,0.22853630387913354,0.47648512815671806,120.0,71.0
do_concentration_change_6h,0.22476997651554356,0.17493795615298258,121.0,133.0
do_concentration_lag_12h,0.3492784540306561,0.17611196829827544,93.0,131.0
do_concentration_lag_1h,0.5179785537959086,0.10223426521322805,65.0,146.0
do_concentration_lag_24h,0.24588407103823454,0.25523946624972427,116.0,114.0
do_concentration_lag_3h,0.1999908983911159,0.15580994769054088,127.0,138.0
do_concentration_lag_6h,0.5171181586160905,0.2339745164457822,66.0,122.0
do_concentration_rolling_max_12h,0.5844632117416975,0.3254684474708004,56.0,99.0
do_concentration_rolling_max_24h,0.8301337690388958,0.5990024176468561,22.0,49.0
do_concentration_rolling_max_6h,0.6606479211613796,0.23868335351246603,41.0,118.0
do_concentration_rolling_mean_12h,0.6794372898748382,0.2580849447974226,37.0,113.0
do_concentration_rolling_mean_24h,0.6354845222906439,0.6651095840823682,47.0,40.0
do_concentration_rolling_mean_6h,0.21177365090045897,0.2253431963994049,125.0,124.0
do_concentration_rolling_std_12h,0.3778262919284605,0.2827756202883017,89.0,105.0
do_concentration_rolling_std_24h,0.5246989830321623,0.5092860536911183,64.0,64.0
do_concentration_rolling_std_6h,0.17521826017128758,0.18254509518217463,128.0,130.0
do_saturation,0.7821681633156732,0.614393335648351,25.0,47.0
do_saturation_change_12h,0.26082618491823056,0.4936578760559975,115.0,67.0
do_saturation_change_24h,0.5874308314326843,0.32569445842388695,55.0,98.0
do_saturation_change_3h,0.8128849531074317,0.3863167422948072,23.0,90.0
do_saturation_change_6h,0.2652107630611453,0.2042120961687982,113.0,127.0
do_saturation_lag_12h,0.43413510309583786,1.281730288145317,79.0,16.0
do_saturation_lag_1h,1.3768345366014203,0.8745947666938434,9.0,29.0
do_saturation_lag_24h,0.7428640099629679,0.8094033141715253,28.0,32.0
do_saturation_lag_3h,0.5816832066088532,0.3475967740273285,57.0,95.0
do_saturation_lag_6h,0.4839648917294047,0.2335263035308581,72.0,123.0
do_saturation_rolling_max_12h,0.5250873710866384,0.4216784445416387,63.0,81.0
do_saturation_rolling_max_24h,0.8376566143757882,0.9529781012145615,20.0,24.0
do_saturation_rolling_max_6h,0.39224892681670237,0.3160312259185126,87.0,101.0
do_saturation_rolling_mean_12h,0.8114537391391307,0.4047918086148122,24.0,84.0
do_saturation_rolling_mean_24h,0.3571670380981084,0.5460575689542626,91.0,53.0
do_saturation_rolling_mean_6h,0.6998625139832478,1.1746455724333111,35.0,19.0
do_saturation_rolling_std_12h,0.2627672878036348,0.23831098004457948,114.0,119.0
do_saturation_rolling_std_24h,0.5684423241212736,0.31880958517786245,59.0,100.0
do_saturation_rolling_std_6h,0.14156299973041309,0.147808975174681,134.0,140.0
high_turbidity,0.2316508451087977,0.23984543622133664,118.0,117.0
hour,0.10740517750847342,0.09905730717603083,137.0,147.0
hour_cos,0.15512604691913487,0.27925189817118956,133.0,106.0
hour_sin,0.09577786994095386,0.05299410624325533,138.0,151.0
missingindicator_do_concentration,0.4387695614998792,3.5112543000374354,78.0,2.0
missingindicator_do_concentration_change_12h,0.0,0.48008185323802277,142.0,69.0
missingindicator_do_concentration_change_24h,0.40208120568162675,0.3047090561606709,83.0,102.0
missingindicator_do_concentration_change_3h,0.0,0.12165636021703537,142.0,143.0
missingindicator_do_concentration_change_6h,0.04558516377342396,0.16895153479598132,141.0,134.0
missingindicator_do_concentration_lag_12h,0.0,1.6911560668881793,142.0,11.0
missingindicator_do_concentration_lag_24h,0.4032431399238624,2.3488961767868166,82.0,4.0
missingindicator_do_concentration_lag_3h,0.0,1.117511092702449,142.0,20.0
missingindicator_do_concentration_lag_6h,0.0,2.933398623798017,142.0,3.0
missingindicator_do_concentration_rolling_max_24h,0.0,1.623670726376431,142.0,13.0
missingindicator_do_concentration_rolling_mean_12h,0.3261667728772668,0.0,95.0,155.0
missingindicator_do_concentration_rolling_mean_24h,0.0,2.008297411149843,142.0,6.0
missingindicator_do_concentration_rolling_mean_6h,0.428101889437699,0.0,80.0,155.0
missingindicator_do_concentration_rolling_std_24h,0.04781028040811,0.0,140.0,155.0
missingindicator_do_saturation,0.0,0.00044631652353633553,142.0,154.0
missingindicator_do_saturation_change_24h,0.1401343078919319,0.0,135.0,155.0
missingindicator_do_saturation_lag_12h,0.0,0.7814766331748534,142.0,35.0
missingindicator_do_saturation_lag_24h,0.05038930768232323,0.0,139.0,155.0
missingindicator_do_saturation_lag_3h,0.0,0.32601626145476614,142.0,97.0
missingindicator_ph,0.0,0.7536132300583345,142.0,36.0
missingindicator_sp_conductance,0.0,0.869859752942619,142.0,30.0
missingindicator_sp_conductance_change_12h,0.6161126512466119,0.0,50.0,155.0
missingindicator_sp_conductance_change_24h,0.0,0.15232619566883263,142.0,139.0
missingindicator_sp_conductance_lag_12h,0.0,0.6923841657772201,142.0,39.0
missingindicator_sp_conductance_lag_24h,0.0,0.4838371944400177,142.0,68.0
missingindicator_sp_conductance_lag_3h,0.0,1.9521703204577239,142.0,7.0
missingindicator_sp_conductance_rolling_max_24h,0.3090361481360969,0.43161015420040694,101.0,79.0
missingindicator_sp_conductance_rolling_max_6h,0.0,0.030978120615861075,142.0,153.0
missingindicator_sp_conductance_rolling_mean_12h,0.16355958049885438,0.9354332715999167,131.0,26.0
missingindicator_sp_conductance_rolling_mean_24h,0.3356120194571045,0.533936775295067,94.0,57.0
missingindicator_sp_conductance_rolling_mean_6h,0.6584764571064982,0.19816745397534496,43.0,128.0
missingindicator_sp_conductance_rolling_std_6h,0.46420523076445075,0.0,74.0,155.0
missingindicator_water_temperature,1.4624087864292665,0.7129866914817865,7.0,38.0
missingindicator_water_temperature_change_24h,0.0,0.06636314685591488,142.0,150.0
missingindicator_water_temperature_lag_24h,0.0,0.5078359788268805,142.0,65.0
missingindicator_water_temperature_rolling_mean_24h,0.0,1.6874828378124276,142.0,12.0
month,0.7042445999030204,0.1617184062904892,34.0,136.0
month_cos,0.8348152407402912,1.9500234109050825,21.0,8.0
month_sin,0.21214567003333717,2.2503455464892625,124.0,5.0
ph,0.37535328881116153,0.2642107266087152,90.0,110.0
ph_change_12h,0.3017420888836559,0.15669732919223203,104.0,137.0
ph_change_24h,0.718953262256843,1.0529897633043714,31.0,23.0
ph_change_3h,0.4479202472420974,0.04738691859050707,76.0,152.0
ph_change_6h,0.28644324815198197,0.12839950657165214,106.0,142.0
ph_lag_12h,0.6382949524836078,0.2706899990163835,46.0,108.0
ph_lag_1h,0.32282464183025955,0.277276312182384,97.0,107.0
ph_lag_24h,0.3111790812204467,0.3573948286144422,99.0,93.0
ph_lag_3h,0.3254999935289177,0.102665037810774,96.0,145.0
ph_lag_6h,0.30715689226018883,0.23487011564348703,102.0,120.0
ph_rolling_max_12h,0.5325533139847486,0.45782298363673285,62.0,75.0
ph_rolling_max_24h,0.3929829164387496,0.6605259574726977,85.0,41.0
ph_rolling_max_6h,0.2725850120854088,0.7943954348134139,111.0,33.0
ph_rolling_mean_12h,0.2956143302483957,0.42713467052525983,105.0,80.0
ph_rolling_mean_24h,0.5058781126181867,0.9334571345230155,67.0,27.0
ph_rolling_mean_6h,0.45959118865239007,0.20849327266482884,75.0,126.0
ph_rolling_std_12h,0.3805290580816825,0.11564607998718963,88.0,144.0
ph_rolling_std_24h,0.5914086986965817,0.6577490569759539,53.0,42.0
ph_rolling_std_6h,0.3925427300184867,0.25186011300518396,86.0,116.0
sp_conductance,0.27984703131713407,0.4989419356351661,107.0,66.0
sp_conductance_change_12h,1.3569935693486763,0.5256588161772782,11.0,59.0
sp_conductance_change_24h,1.3502238140319927,1.7262401504026197,12.0,10.0
sp_conductance_change_3h,1.0779066860276896,1.8902922040677888,13.0,9.0
sp_conductance_change_6h,1.4469672110937941,1.2358840376289975,8.0,18.0
sp_conductance_lag_12h,0.6606103982497511,0.545895808389733,42.0,54.0
sp_conductance_lag_1h,0.9492211228995869,0.8204001150343398,17.0,31.0
sp_conductance_lag_24h,0.7141212204020903,0.6090226255703871,32.0,48.0
sp_conductance_lag_3h,1.0125791772557033,0.4040543879090158,16.0,85.0
sp_conductance_lag_6h,0.49025310965945046,0.39497903673385154,71.0,87.0
sp_conductance_rolling_max_12h,0.4403716422868076,0.455604529882505,77.0,77.0
sp_conductance_rolling_max_24h,0.27473322868282,0.45904458385992736,110.0,73.0
sp_conductance_rolling_max_6h,0.40155891546216815,1.2797496126958638,84.0,17.0
sp_conductance_rolling_mean_12h,0.42251946910151617,0.7150590420567887,81.0,37.0
sp_conductance_rolling_mean_24h,0.4723422396347148,0.5397646939906918,73.0,55.0
sp_conductance_rolling_mean_6h,0.6528517287902539,0.35412279167228183,44.0,94.0
sp_conductance_rolling_std_12h,0.6322466259843349,0.2915032348751471,48.0,103.0
sp_conductance_rolling_std_24h,0.32135381148289055,0.444122771495569,98.0,78.0
sp_conductance_rolling_std_6h,0.30667298227711975,0.521451971740259,103.0,60.0
turbidity,9.546133048651031,1.5885572082742967,1.0,14.0
turbidity_change_12h,1.0217413072865904,0.5481487861923022,15.0,52.0
turbidity_change_1h,0.158902193641905,0.0786370052336614,132.0,149.0
turbidity_change_24h,9.431609134803722,9.3434043148941,2.0,1.0
turbidity_change_3h,2.354439808182834,0.4588227222760312,5.0,74.0
turbidity_change_6h,3.496018528806984,1.0748649783402886,4.0,21.0
turbidity_lag_12h,0.5025368987092957,0.3729113622847854,68.0,91.0
turbidity_lag_1h,0.6780856675448055,0.9450351064080527,38.0,25.0
turbidity_lag_24h,0.5420970930987352,0.5162394239457303,61.0,62.0
turbidity_lag_3h,0.24277070613789348,0.6486290676650466,117.0,44.0
turbidity_lag_6h,0.12942594281028633,0.18764902999645144,136.0,129.0
turbidity_ratio_1h,0.26867772458089767,0.09680321909303356,112.0,148.0
turbidity_rolling_max_12h,0.6417305917429094,0.5190142173409321,45.0,61.0
turbidity_rolling_max_24h,0.7759495681313271,0.6337205138319291,27.0,46.0
turbidity_rolling_max_6h,0.4974162374768944,0.5650360704580648,70.0,51.0
turbidity_rolling_mean_12h,0.5640609160861958,0.3887802033329461,60.0,89.0
turbidity_rolling_mean_24h,1.7432608814951753,1.3027780930311221,6.0,15.0
turbidity_rolling_mean_6h,0.6897092367776119,0.6446804242092858,36.0,45.0
turbidity_rolling_std_12h,0.706823353032688,0.36591974003294997,33.0,92.0
turbidity_rolling_std_24h,0.6656060894449113,0.5789726993922378,40.0,50.0
turbidity_rolling_std_6h,4.716433325393952,0.2689179914534792,3.0,109.0
water_temperature,0.2000737398883617,0.2244023917693881,126.0,125.0
water_temperature_change_12h,0.4999387261769043,0.2910780866178709,69.0,104.0
water_temperature_change_24h,0.5884918406065547,0.5362487519408116,54.0,56.0
water_temperature_change_3h,0.6014224114062563,0.5095194557080751,51.0,63.0
water_temperature_change_6h,0.7774757657080227,0.5333725259190738,26.0,58.0
water_temperature_lag_12h,0.22992042479894012,0.17535174227040556,119.0,132.0
water_temperature_lag_1h,0.2780759179878111,0.26065938525292986,109.0,112.0
water_temperature_lag_24h,0.27857228908659115,0.26394630157367116,108.0,111.0
water_temperature_lag_3h,0.7217793236733545,0.14328619517415325,30.0,141.0
water_temperature_lag_6h,0.35390370117796405,0.2340686714677615,92.0,121.0
water_temperature_rolling_max_12h,0.3094984056845068,0.47840729101719787,100.0,70.0
water_temperature_rolling_max_24h,0.9104928525327894,1.0696463037428148,18.0,22.0
water_temperature_rolling_max_6h,1.3604270154516127,0.47009253866479167,10.0,72.0
water_temperature_rolling_mean_12h,0.218955958867205,0.2528659946559009,122.0,115.0
water_temperature_rolling_mean_24h,0.6764701486906946,0.4569008835850193,39.0,76.0
water_temperature_rolling_mean_6h,0.7262620555325005,0.4111063056818983,29.0,83.0
water_temperature_rolling_std_12h,0.5698561124653646,0.40259400445569565,58.0,86.0
water_temperature_rolling_std_24h,0.8431433333433116,0.6537073120489847,19.0,43.0
water_temperature_rolling_std_6h,0.5989507241827763,0.41814953571303864,52.0,82.0
